model,match_id,date,market_key,group,line,selection,odds,stake,abs_stake,pnl,abs_pnl,payoff,p_model,p_market,edge,won
m00_baseline,12476800,2024-08-10,1X2,1X2,0.0,home,2.594362346924865,0.019169306861433467,19.09545872748635,0.02995156465498762,29.83617878451479,1.5624750999863677,0.5102859290326569,0.3854511692190239,0.12483475981363301,true
m00_baseline,12476800,2024-08-10,1X2,1X2,0.0,draw,3.8246965576984526,0.004968048760219161,4.948909772411595,-0.004968048760219161,-4.948909772411595,-1.0,0.24768056296022603,0.26145865035676435,-0.013778087396538324,false
m00_baseline,12476623,2024-08-17,1X2,1X2,0.0,away,5.060995194239675,0.005047686098479762,5.147138874295546,-0.005047686098479762,-5.147138874295546,-1.0,0.24749844013500538,0.1974839279256179,0.05001451220938749,false
m00_baseline,12476623,2024-08-17,1X2,1X2,0.0,draw,3.9064170692123628,0.00046279748501225376,0.4719158203498839,-0.00046279748501225376,-0.4719158203498839,-1.0,0.2483757369732647,0.25585215107936365,-0.00747641410609895,false
m00_baseline,12476629,2024-08-17,1X2,1X2,0.0,away,4.570148845656838,0.0027516263190019022,2.8058406401965037,-0.0027516263190019022,-2.8058406401965037,-1.0,0.2476343689248835,0.21881125402520155,0.02882311489968195,false
m00_baseline,12476631,2024-08-17,OU1.5,OverUnder,1.5,under_15,4.1818181818181825,0.0012959473840984325,1.3214809775401108,-0.0012959473840984325,-1.3214809775401108,-1.0,0.25626309618032045,0.23913043478260868,0.017132661397711774,false
m00_baseline,12476631,2024-08-17,OU3.5,OverUnder,3.5,under_35,1.41,0.0015690002096115487,1.599913666402852,-0.0015690002096115487,-1.599913666402852,-1.0,0.723096792483275,0.7068607068607069,0.016236085622568064,false
m00_baseline,12476634,2024-08-17,1X2,1X2,0.0,away,5.353504132128758,0.006370156413491096,6.495665354685599,0.027177852223071192,27.71332784329838,4.2664340494861825,0.2477260452514623,0.18679354219576588,0.06093250305569642,true
m00_baseline,12476634,2024-08-17,1X2,1X2,0.0,draw,3.9784325487363694,0.0014246812949831062,1.45275128718836,-0.0014246812949831062,-1.45275128718836,-1.0,0.24837823309271623,0.2513552731508846,-0.0029770400581683454,false
m00_baseline,12476634,2024-08-17,OU3.5,OverUnder,3.5,over_35,3.65,0.0002738922479330155,0.2792886501260059,-0.0002738922479330155,-0.2792886501260059,-1.0,0.2768879238283107,0.2729083665338645,0.003979557294446157,false
m00_baseline,12476790,2024-08-17,1X2,1X2,0.0,home,2.025702758937498,0.0035447523638595965,3.614593367299088,0.003563145033773786,3.633348421490339,1.0051887037587481,0.5096526596646188,0.49252296618726393,0.01712969347735488,true
m00_baseline,12476790,2024-08-17,OU2.5,OverUnder,2.5,under_25,2.2555555555555555,0.0061709421131030855,6.29252600532084,0.007593001440055952,7.742603664769221,1.2304444444444445,0.504014380749884,0.4433497536945813,0.06066462705530273,true
m00_baseline,12476790,2024-08-17,OU3.5,OverUnder,3.5,under_35,1.5,0.00746895487933859,7.616113058492555,0.003659787890875909,3.731895398661352,0.49,0.7228836389103718,0.6666666666666666,0.05621697224370514,true
m00_baseline,12476792,2024-08-17,1X2,1X2,0.0,home,2.7562132504692642,0.02138505470918201,21.80639688662864,0.036805582113430074,37.53074949414315,1.721088985459879,0.5097808360218152,0.3628166288765004,0.14696420714531483,true
m00_baseline,12476792,2024-08-17,1X2,1X2,0.0,draw,3.518718397168266,0.0037632666403783614,3.8374129534054906,-0.0037632666403783614,-3.8374129534054906,-1.0,0.24780747532199374,0.2841943819104032,-0.03638690658840946,false
m00_baseline,12476792,2024-08-17,OU3.5,OverUnder,3.5,under_35,1.42,0.006666749116405444,6.798101718837207,0.00274403393631248,2.798098667473394,0.4115999999999999,0.7228766126457333,0.7023060796645704,0.02057053298116296,true
m00_baseline,12476795,2024-08-17,1X2,1X2,0.0,home,2.5954205552665472,0.019993056113520757,20.38697223443985,-0.019993056113520757,-20.38697223443985,-1.0,0.5099718098733522,0.3852940125525441,0.12467779732080814,false
m00_baseline,12476795,2024-08-17,1X2,1X2,0.0,draw,3.817201367811728,0.0030425778188587346,3.1025246546598293,0.008400123305103202,8.565627966761735,2.7608573404554932,0.24776083140892644,0.2619720322937184,-0.014211200884791969,true
m00_baseline,12476795,2024-08-17,OU2.5,OverUnder,2.5,under_25,2.3087818696883855,0.01059939141219811,10.808227476354034,0.013594845483815345,13.862699921229613,1.2826062322946177,0.5039784544898112,0.4331288343558282,0.07084962013398294,true
m00_baseline,12476795,2024-08-17,OU3.5,OverUnder,3.5,under_35,1.49,0.0031429167754541067,3.20484055426655,0.0015092286355730619,1.5389644341587971,0.48019999999999996,0.7228662761959673,0.6574712643678161,0.06539501182815122,true
m00_baseline,12476796,2024-08-17,1X2,1X2,0.0,home,2.092066654446685,0.004899300031654356,4.9958292092213075,-0.004899300031654356,-4.9958292092213075,-1.0,0.5100350798091476,0.4773154380681363,0.03271964174101133,false
m00_baseline,12476796,2024-08-17,OU2.5,OverUnder,2.5,under_25,2.04,0.002478466772432734,2.5272991275904486,-0.002478466772432734,-2.5272991275904486,-1.0,0.5039708530698586,0.48223350253807107,0.02173735053178749,false
m00_baseline,12476621,2024-08-24,1X2,1X2,0.0,home,2.4899726891554788,0.015033165311936275,16.265796458436228,-0.015033165311936275,-16.265796458436228,-1.0,0.5041776041702362,0.3994597131248456,0.10471789104539059,false
m00_baseline,12476621,2024-08-24,1X2,1X2,0.0,draw,3.846862279593479,0.002190955270842227,2.3706007181841833,0.006112600958500506,6.613798289284246,2.7899250340016093,0.24837519208837655,0.2585597569673999,-0.010184564879023361,true
