scope,market_key,group,line,selection,n_bets,n_matches,win_rate_pct,push_rate_pct,mean_odds,median_odds,mean_p_model,mean_p_market,mean_edge,calib_bias,market_bias,flat_roi_pct,kelly_roi_pct,total_pnl_units,pnl_share_pct,turnover_units,capital_share_pct,capital_efficiency,mean_stake_frac,max_stake_frac,standalone_dd_units,standalone_dd_pct_turnover,max_win_streak,max_loss_streak,payoff_autocorr
m05_production_wealth,OU0.5,OverUnder,0.5,over_05,60,60,95.0,0.0,1.0822137158856249,1.0799999999999998,0.9436702006628558,0.9227896492539928,0.02088055140886286,0.006329799337144171,0.027210350746007195,2.6111841567912277,0.35872135115584836,4.062118774096629,0.273978054416221,1132.388345719578,3.4933233740420393,0.0784290559677582,0.008146761818350718,0.03557484225366808,-55.77180957683886,-4.925148672507626,21,1,-0.04947273258608965
m05_production_wealth,OU0.5,OverUnder,0.5,under_05,34,34,2.941176470588235,0.0,19.946034516252727,18.80279960737623,0.056319278795622076,0.054375789503374856,0.0019434892922472167,-0.026907514089739723,-0.024964024797492504,-55.49931600547197,-17.65059957822667,-7.702484263025658,-0.5195100808012784,43.638655043351875,0.13462160243077023,-3.8590394960455088,0.0005206628189804522,0.0012354373471447125,-22.79337146430894,-52.23206682622404,1,21,-0.03125
m05_production_wealth,OU1.5,OverUnder,1.5,ALL,174,174,45.40229885057471,0.0,3.327425073652184,1.4699212598425198,0.5064586120730673,0.46831738077275087,0.03814123130031628,-0.05243562356732018,-0.014294392267003742,-7.0298786833131715,-5.676402407848934,-82.7680613699342,-5.5824641481538135,1458.1077137076875,4.498140392754837,-1.2410604518137094,0.0036156519309251058,0.017631392668825137,-226.51528827454246,-15.534880320916598,11,6,-0.0747168816629822
m05_production_wealth,OU1.5,OverUnder,1.5,over_15,89,89,71.91011235955057,0.0,1.3605724715486267,1.35,0.7818716417553603,0.7336470252803899,0.048224616474970235,-0.06277051815985468,-0.014545901684884344,-2.922295419436304,-0.22832125097360456,-2.5564499055116627,-0.1724250841189106,1119.6723452637377,3.4540955757477283,-0.04991902520867124,0.005539889275147366,0.017631392668825137,-161.5221025911149,-14.425836564987994,11,3,0.07342412958019232
m05_production_wealth,OU1.5,OverUnder,1.5,under_15,85,85,17.647058823529413,0.0,5.386835445266496,5.1,0.21808496922925458,0.19050163534710537,0.027583333882149202,-0.04161438099396045,-0.014031047111811246,-11.330759983137188,-23.700717756899195,-80.2116114644225,-5.4100390640349,338.43536844395015,1.0440448170071097,-5.181807309329384,0.0016008622410923878,0.005824422637677137,-125.73108594145562,-37.15069335676674,2,9,-0.1283925015417539
m05_production_wealth,OU2.5,OverUnder,2.5,ALL,281,281,46.619217081850536,0.0,2.235497379743549,2.2,0.5015772491887275,0.45139877035436643,0.05017847883436105,-0.035385078370222145,0.014793400464138906,2.4377159170672362,6.775554508558398,168.62176119075028,11.373045603166165,2488.678394923387,7.677364784194092,1.481373612281733,0.003947467431685809,0.017704079305817164,-219.69379062803807,-8.827729250842044,11,7,0.05669967174685951
m05_production_wealth,OU2.5,OverUnder,2.5,over_25,145,145,46.206896551724135,0.0,2.069926574870239,2.02,0.549203978466144,0.48296691341172104,0.06623706505442302,-0.08713501294890263,-0.020897947894479685,-6.302794394985346,-8.280681897859214,-117.91614757395516,-7.953099969055638,1423.990789990855,4.392892535408967,-1.810447195088333,0.004523287501798388,0.017704079305817164,-196.68325571086558,-13.812115716852965,4,5,-0.09946151882761714
m05_production_wealth,OU2.5,OverUnder,2.5,under_25,136,136,47.05882352941176,0.0,2.412025076115828,2.3335714285714286,0.45079875106206996,0.4177415590064514,0.03305719205561849,0.019789484232047683,0.05284667628766626,11.756642352711532,26.912862274081174,286.5379087647055,19.326145572221808,1064.6876049325308,3.284472248785122,5.884094645454919,0.0033335416216393084,0.01577423499300293,-120.6697324372123,-11.333815842146404,7,5,0.014949346293291631
m05_production_wealth,OU3.5,OverUnder,3.5,ALL,221,221,42.98642533936652,0.0,2.9104334833285304,3.325,0.45350176534958575,0.40293140546426714,0.05057035988531899,-0.023637511955920565,0.02693284792939804,6.109952928886917,-2.042012254094002,-41.881087936487475,-2.8247571348342233,2050.971430387877,6.327075392774005,-0.44645542521277815,0.003928383415031299,0.016037336069213527,-267.9153401876964,-13.062850911435108,7,7,-0.0677408705740473
m05_production_wealth,OU3.5,OverUnder,3.5,over_35,140,140,30.714285714285715,0.0,3.665453874304475,3.575,0.3259441809799273,0.2750000921891481,0.05094408879077912,-0.018801323837070116,0.032142764953709047,9.232578513959504,0.6736666767166988,6.854843596324853,0.46233919200608264,1017.542329647925,3.1390330160785145,0.14728713894945492,0.003227917305528318,0.010284922019398329,-143.00321598685514,-14.053785461321791,3,10,-0.08554428238737295
