model,source,bin,lower,upper,n,predicted,observed
G3 m00_joint_baseline,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G3 m00_joint_baseline,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G3 m00_joint_baseline,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G3 m00_joint_baseline,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
G3 m05_joint_production_wealth,model,1,0.0,0.1,0,NaN,NaN
G3 m05_joint_production_wealth,model,2,0.1,0.2,4,0.19044017451574363,0.25
G3 m05_joint_production_wealth,model,3,0.2,0.3,773,0.2569428188282617,0.2522639068564036
G3 m05_joint_production_wealth,model,4,0.3,0.4,627,0.3541406699848393,0.3253588516746411
G3 m05_joint_production_wealth,model,5,0.4,0.5,890,0.4506806670261847,0.47191011235955055
G3 m05_joint_production_wealth,model,6,0.5,0.6,568,0.5402758410337082,0.5404929577464789
G3 m05_joint_production_wealth,model,7,0.6,0.7,37,0.6106082089007003,0.6756756756756757
G3 m05_joint_production_wealth,model,8,0.7,0.8,0,NaN,NaN
G3 m05_joint_production_wealth,model,9,0.8,0.9,0,NaN,NaN
G3 m05_joint_production_wealth,model,10,0.9,1.0,0,NaN,NaN
G3 m05_joint_production_wealth,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G3 m05_joint_production_wealth,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G3 m05_joint_production_wealth,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G3 m05_joint_production_wealth,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G3 m05_joint_production_wealth,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G3 m05_joint_production_wealth,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
G3 m05_joint_production_wealth,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G3 m05_joint_production_wealth,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G3 m05_joint_production_wealth,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G3 m05_joint_production_wealth,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
G4 m12_joint_hybrid_synergy,model,1,0.0,0.1,0,NaN,NaN
G4 m12_joint_hybrid_synergy,model,2,0.1,0.2,3,0.19640169051638687,0.0
G4 m12_joint_hybrid_synergy,model,3,0.2,0.3,781,0.2570846177994445,0.2496798975672215
G4 m12_joint_hybrid_synergy,model,4,0.3,0.4,584,0.3511285547134033,0.3373287671232877
G4 m12_joint_hybrid_synergy,model,5,0.4,0.5,916,0.4540692677348188,0.4574235807860262
G4 m12_joint_hybrid_synergy,model,6,0.5,0.6,611,0.5355196785725775,0.5531914893617021
G4 m12_joint_hybrid_synergy,model,7,0.6,0.7,4,0.609616466980559,0.75
G4 m12_joint_hybrid_synergy,model,8,0.7,0.8,0,NaN,NaN
G4 m12_joint_hybrid_synergy,model,9,0.8,0.9,0,NaN,NaN
G4 m12_joint_hybrid_synergy,model,10,0.9,1.0,0,NaN,NaN
G4 m12_joint_hybrid_synergy,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G4 m12_joint_hybrid_synergy,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G4 m12_joint_hybrid_synergy,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G4 m12_joint_hybrid_synergy,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G4 m12_joint_hybrid_synergy,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G4 m12_joint_hybrid_synergy,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
G4 m12_joint_hybrid_synergy,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G4 m12_joint_hybrid_synergy,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G4 m12_joint_hybrid_synergy,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G4 m12_joint_hybrid_synergy,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
G4 m13_joint_composite,model,1,0.0,0.1,0,NaN,NaN
G4 m13_joint_composite,model,2,0.1,0.2,3,0.18853411274405965,0.0
G4 m13_joint_composite,model,3,0.2,0.3,798,0.25670471997645705,0.2531328320802005
G4 m13_joint_composite,model,4,0.3,0.4,564,0.3515852275530109,0.3351063829787234
G4 m13_joint_composite,model,5,0.4,0.5,918,0.45533480298628276,0.46296296296296297
G4 m13_joint_composite,model,6,0.5,0.6,612,0.535717180246464,0.5424836601307189
G4 m13_joint_composite,model,7,0.6,0.7,4,0.608374087727989,1.0
G4 m13_joint_composite,model,8,0.7,0.8,0,NaN,NaN
G4 m13_joint_composite,model,9,0.8,0.9,0,NaN,NaN
G4 m13_joint_composite,model,10,0.9,1.0,0,NaN,NaN
G4 m13_joint_composite,betfair,1,0.0,0.1,15,0.0750368067661535,0.06666666666666667
G4 m13_joint_composite,betfair,2,0.1,0.2,112,0.1642668353413148,0.24107142857142858
G4 m13_joint_composite,betfair,3,0.2,0.3,842,0.25784190296482584,0.2589073634204275
G4 m13_joint_composite,betfair,4,0.3,0.4,423,0.35263651166012877,0.3546099290780142
G4 m13_joint_composite,betfair,5,0.4,0.5,732,0.45390510295866693,0.4672131147540984
G4 m13_joint_composite,betfair,6,0.5,0.6,633,0.5404438664702504,0.5244865718799369
G4 m13_joint_composite,betfair,7,0.6,0.7,122,0.6287503210666132,0.5655737704918032
G4 m13_joint_composite,betfair,8,0.7,0.8,17,0.7392234283302767,0.6470588235294118
G4 m13_joint_composite,betfair,9,0.8,0.9,2,0.8290213877706651,0.5
G4 m13_joint_composite,betfair,10,0.9,1.0,1,0.9165525429670892,1.0
