container,scope,model,market_key,direction,full_bets,full_kelly_roi,full_flat_roi,full_eff,full_cap_share,anchor_book_roi,sel_bets,sel_kelly_roi,sel_eff,sel_eff_anch,eval_bets,eval_kelly_roi,eval_eff,eval_eff_anch,sign_across_split,verdict_selection,verdict_reason,oos_gate,oos_gate_reason
inv_anch,m05,m05,OU3.5,ALL,115,-26.650430069449527,-24.660386479192486,-4.277935495577674,9.81488465835684,15.802962772600317,45,-28.19223793400005,-1.7839843287412318,-1.7839843287412318,70,-26.132258755399842,-31.008082838338918,-1.6536303433371866,held,CONDITIONAL,"only 45 bets, below the 60 floor",false,IS Kelly ROI -28.19%; OOS Kelly ROI -26.13%; IS efficiency -1.78; OOS efficiency -1.65
inv_anch,m05,m05,OU3.5,over_35,50,-19.311761747257485,-38.78237583892617,-3.0999301266599915,1.1890852498915598,15.802962772600317,23,-34.49423688496194,-2.18277024260091,-2.18277024260091,27,-9.709347658365072,-11.52094272886399,-0.6144004638927233,held,CONDITIONAL,"only 23 bets, below the 60 floor",false,IS Kelly ROI -34.49%; OOS Kelly ROI -9.71%; IS efficiency -2.18; OOS efficiency -0.61
inv_anch,m05,m05,OU3.5,under_35,65,-27.66208149357158,-13.797317740935794,-4.440326103351188,8.625799408465282,15.802962772600317,22,-26.74651640800334,-1.6925001212036839,-1.6925001212036839,43,-27.93991638895571,-33.15301788468556,-1.7680176047366782,held,CONDITIONAL,"only 22 bets, below the 60 floor",false,IS Kelly ROI -26.75%; OOS Kelly ROI -27.94%; IS efficiency -1.69; OOS efficiency -1.77
inv_anch,m12,m12,1X2,ALL,802,11.27680574814099,5.669136325562282,1.9370078598319769,59.153494334045384,17.722960622894266,409,31.334112071115776,1.767995355732993,1.767995355732993,393,-2.876684512482195,NaN,-0.16231399333845695,reversed,KEEP,"Kelly ROI +31.33%, efficiency 1.77",false,OOS Kelly ROI -2.88%; OOS efficiency -0.16
inv_anch,m12,m12,1X2,away,353,5.562946491655686,3.190019451438777,0.9555428477552829,28.078335872248875,17.722960622894266,188,28.184537382112737,1.5902838121585823,1.5902838121585823,165,-11.215585586309153,NaN,-0.6328279921708465,reversed,KEEP,"Kelly ROI +28.18%, efficiency 1.59",false,OOS Kelly ROI -11.22%; OOS efficiency -0.63
inv_anch,m12,m12,1X2,draw,166,21.25651078694938,4.7235555173991814,3.651213773342845,8.661863237266488,17.722960622894266,73,32.22517360976417,1.81827259538884,1.81827259538884,93,16.644735087947765,NaN,0.9391622225039723,held,KEEP,"Kelly ROI +32.23%, efficiency 1.82",true,all four conditions hold
inv_anch,m12,m12,1X2,home,283,14.57809716444974,9.316113960617667,2.5040680330587843,22.413295224530057,17.722960622894266,148,34.888855443331764,1.9685681295405486,1.9685681295405486,135,-1.6415472735522565,NaN,-0.09262263278019865,reversed,KEEP,"Kelly ROI +34.89%, efficiency 1.97",false,OOS Kelly ROI -1.64%; OOS efficiency -0.09
inv_anch,m12,m12,BTTS,ALL,108,-19.822394115249754,-11.086853008830435,-3.404876705290024,7.64878677731391,17.722960622894266,29,-12.146968865844256,-0.6853803449832742,-0.6853803449832742,79,-22.21170729334636,NaN,-1.2532729585063567,held,CONDITIONAL,"only 29 bets, below the 60 floor",false,IS Kelly ROI -12.15%; OOS Kelly ROI -22.21%; IS efficiency -0.69; OOS efficiency -1.25
inv_anch,m12,m12,BTTS,btts_no,72,4.614912722251446,-9.844114386583176,0.7926998491495051,3.577668757753516,17.722960622894266,21,18.693998382808417,1.0547898164745555,1.0547898164745555,51,-2.4712609075059446,NaN,-0.13943837940448872,reversed,CONDITIONAL,"only 21 bets, below the 60 floor",false,OOS Kelly ROI -2.47%; OOS efficiency -0.14
inv_anch,m12,m12,BTTS,btts_yes,36,-41.29772073955749,-13.57233025332496,-7.09367629914669,4.071118019560397,17.722960622894266,8,-71.92614660282582,-4.05835955590358,-4.05835955590358,28,-35.81652036940308,NaN,-2.0209106780464103,held,CONDITIONAL,"only 8 bets, below the 60 floor",false,IS Kelly ROI -71.93%; OOS Kelly ROI -35.82%; IS efficiency -4.06; OOS efficiency -2.02
