model,container,basket,setting,t1,ratio,lambda,cap,deployable,n_directions,n_slates,n_bets,return_pct,cagr_pct,flat_roi_pct,sharpe_ann,sortino,mdd_pct,calmar,ulcer,turnover,mean_exposure,max_exposure,worst_slate,mean_k_risk,frac_k_pinned,n_capped,is_return_pct,is_sharpe,is_mdd_pct,is_calmar,is_slates,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_mdd_pct,oos_calmar,oos_slates,oos_k_pinned,g3_sharpe,g3_calmar,g3_mdd,gate3
m12,std,B3_plus_over25,tuned,0.8,1.0,8.0,0.2,true,5,99,1156,303.8345492221484,124.62271861865855,14.018210039967052,1.5091990623473814,0.221845311073761,-25.095861516024232,12.106958313750004,11.059357719166798,11.812640330455707,0.1193195992975324,0.20000000000000004,-0.1383185256682862,0.9019386559997429,0.020202020202020204,7,150.7774761422898,2.422632947786603,-19.185066831839084,12.62164829579689,49,61.03302235684638,92.36192312569366,1.0089551717284393,-25.09586151602424,3.6803647113974796,50,0.04,false,false,false,false
m12,std,B4_minus_away,prod,0.35,1.4,23.0,0.25,false,3,99,759,41.98070898330932,22.534045582549677,15.511284140711753,1.599740827537259,0.26138726580684,-11.554644064879197,3.63323255546325,5.083568726179493,2.35300839487738,0.023767761564417976,0.05869346178980269,-0.04934533859743383,0.6843018532016918,0.020202020202020204,0,19.5983102795382,1.8868452565697973,-11.293569804586433,2.3955466272346952,49,18.714644589423134,26.562009634035142,1.585170580109846,-4.574914200808701,5.806012630649951,50,0.0,false,false,true,false
m12,std,B4_minus_away,matched,0.8,1.0,12.0,0.2,false,3,99,758,86.4378983713831,43.49785930566621,15.156633971186817,1.550191164210792,0.2429950996065962,-20.14284980885396,4.291244743997872,8.919148189449379,4.430710965277564,0.04475465621492489,0.1121291446325963,-0.0960050652243389,0.5263198946796639,0.010101010101010102,0,36.40856183900969,1.733545696304663,-20.14284980885396,2.556627927112948,49,36.67609705570995,53.57559991905394,1.6107854540500903,-8.095162148913353,6.6182244325082005,50,0.0,false,false,true,false
m12,std,B4_minus_away,tuned,0.8,1.0,8.0,0.2,false,3,99,758,138.77845632943894,65.63311993198131,15.157898032007374,1.4992709274822624,0.23138493213930775,-28.213282291849108,4.918905035361036,12.792521063891993,6.411047475130703,0.06475805530435055,0.16244042996698008,-0.1390684756708178,0.756880383900346,0.020202020202020204,0,54.434978565359124,1.6716367221067547,-28.195895489557632,2.797034654713517,49,54.61423218211174,81.9123928344677,1.5613045991993026,-11.561734081759429,7.084784363246877,50,0.02,false,false,true,false
m12,std,B5_is_keep,prod,0.35,1.4,23.0,0.25,true,3,99,675,47.03670714796857,25.045216350920697,13.921924698410166,1.2383788159124791,0.20537727604168357,-13.435287360410925,3.5009825905599334,5.331411498660711,2.9759223911490174,0.030059822132818357,0.062291860124165536,-0.04189909176410704,0.8394878813935535,0.0707070707070707,0,39.01799788341056,2.467953828697455,-7.850249463067935,7.0555256081233475,49,5.768108724514165,8.0045336611406,0.3665998951086531,-13.435287360410932,0.5957843287168644,50,0.06,false,false,true,false
m12,std,B5_is_keep,matched,0.8,1.0,12.0,0.2,true,3,99,675,93.04655189420853,46.42524978889326,13.748700773491084,1.1368009037228541,0.1869405829069336,-25.442171367875183,3.6571780980806814,9.884970485995327,5.50900859723839,0.055646551487256474,0.11827582362943609,-0.07798427970569616,0.5791363618041532,0.010101010101010102,0,77.34038864713708,2.271253403920634,-13.550139276356877,8.503238873126412,49,8.856506612446214,12.358391979561612,0.30196328007450185,-25.44217136787516,0.48574438875001336,50,0.0,false,false,false,false
m12,std,B5_is_keep,tuned,0.8,1.0,8.0,0.2,true,3,99,675,143.34630040641096,67.46281820118121,13.724025282503268,1.0672628217688673,0.1720255884531687,-35.093999323992264,4.08463848998855,14.06982096656215,7.989463079235205,0.08070164726500206,0.17140196363517546,-0.11319324381164814,0.8352824024510108,0.010101010101010102,0,122.84839931471083,2.2129824119329626,-19.275328449735618,9.968710503400292,49,9.198137009165762,12.842865729223485,0.21695042174612525,-35.09399932399231,0.3659561741782833,50,0.0,false,false,false,false
m12,std,B6_flat11,prod,0.35,1.4,23.0,0.25,true,11,99,1503,63.34625157670168,32.90844594777285,9.628370786011125,1.3962476311593306,0.20448216018224963,-12.104950278779508,5.233086474361679,4.596154106806034,5.4795136914317375,0.05534862314577514,0.1175825219337738,-0.054316804986301995,0.7685044402137625,0.0,0,45.15722101450628,2.45879960556671,-7.627450213853474,8.4741827533917,49,12.53057232363075,17.59818051764581,0.6838770713966474,-11.26012026855372,1.5628767808806157,50,0.0,false,false,true,false
m12,std,B6_flat11,matched,0.8,1.0,12.0,0.2,true,11,99,1503,133.7387274975697,63.59724984854862,9.622435837292365,1.3119855627862251,0.18809917314352143,-22.21512514831005,6.020165387532983,8.578759938779315,10.123419423272724,0.10225676185123965,0.2,-0.10053927265710666,0.6225046889331469,0.0,2,94.30036848901426,2.3885955640921264,-13.886158411401464,10.311974832687406,49,20.297624402490676,28.885062409345586,0.580047107870477,-20.158526326325013,1.4328955371913568,50,0.0,false,false,false,false
m12,std,B6_flat11,tuned,0.8,1.0,8.0,0.2,true,11,99,1503,220.99283328908368,96.62860624754335,10.312278434708128,1.3178967944125748,0.19155334818480835,-27.137373745673283,8.143486372712033,11.453029088080044,13.590577046271003,0.13727855602293948,0.20000000000000007,-0.12367293426229548,0.9016273999551445,0.0,28,152.8538046817833,2.3841196182255024,-17.65988567729125,13.926621050919563,49,26.94799419492748,38.76845375786413,0.5580063229105762,-24.51158310261965,1.58163810128285,50,0.0,false,false,false,false
m12,std,B7_x1x2_ou25,prod,0.35,1.4,23.0,0.25,true,5,99,1177,71.93615922392553,36.91686560379368,12.682810083900257,1.540385472678884,0.2372849598997326,-10.193437080034773,7.05710533739618,4.353585608191125,4.5669307200649225,0.0461306133339891,0.09818938208792723,-0.05363993784393328,0.7659665443282723,0.0,0,40.2522290062004,2.2902688663569966,-8.021615801089403,7.135237642727169,49,22.59067855265553,32.27041582518901,1.1494741177629073,-10.193437080034787,3.1658032096352415,50,0.0,false,false,true,false
m12,std,B7_x1x2_ou25,matched,0.8,1.0,12.0,0.2,true,5,99,1177,157.48039496376472,73.0349454700408,12.675974096486335,1.4594435216382526,0.2198044199374837,-18.413348365354462,8.552512657614795,8.109385555229204,8.458971114874979,0.08544415267550486,0.1818296193114755,-0.09929583782850977,0.6205743141115498,0.0,0,82.5825609603952,2.2177928005768224,-14.607564488967125,8.473278460123733,49,41.02135144200114,60.31940366739741,1.0518469052103094,-18.41334836535443,3.2758519781709645,50,0.0,false,false,false,false
m12,std,B7_x1x2_ou25,tuned,0.8,1.0,8.0,0.2,true,5,99,1177,269.44358806228087,113.32550721899284,12.968223711098824,1.4103861173061423,0.210458425015307,-25.35306253467497,10.627654457672215,11.217597140530739,12.075376000840212,0.12197349495798193,0.20000000000000004,-0.14010544768105987,0.8990139861155108,0.0,8,136.08171962897538,2.235869198325035,-19.35192205710263,11.14054832091662,49,56.48970561672297,84.9491603041828,0.9524985568715355,-25.35306253467497,3.350646896721026,50,0.0,false,false,false,false
