model,market_key,selection,source,n_obs,brier,ece,mean_predicted,realized_win_rate,calibration_bias
m00_joint_baseline,OU3.5,ALL,market,528,0.2098660314894639,0.01484560050373574,0.5,0.5,0.0
m00_joint_baseline,OU3.5,over_35,model,264,0.21053445477916008,0.03200115327557742,0.30158195800411686,0.3068181818181818,0.005236223814064966
m00_joint_baseline,OU3.5,over_35,market,264,0.20986603148946387,0.014845600503735762,0.31406522484008403,0.3068181818181818,-0.007247043021902211
m00_joint_baseline,OU3.5,under_35,model,264,0.2105344328260536,0.03200105996400986,0.6984177692151716,0.6931818181818182,-0.005235951033353392
m00_joint_baseline,OU3.5,under_35,market,264,0.2098660314894639,0.014845600503735717,0.685934775159916,0.6931818181818182,0.007247043021902266
m00_joint_baseline,BTTS,ALL,model,356,0.24534913031365854,0.004121784808149702,0.49999988750779595,0.5,1.1249220405185056e-7
m00_joint_baseline,BTTS,ALL,market,356,0.2451580767568855,0.03004396402078209,0.5,0.5,0.0
m00_joint_baseline,BTTS,btts_yes,model,178,0.2453491394107569,0.004730841781356728,0.5497215213540987,0.550561797752809,0.0008402763987103157
m00_joint_baseline,BTTS,btts_yes,market,178,0.2451580767568853,0.03285295278482705,0.5576697512597203,0.550561797752809,-0.007107953506911291
m00_joint_baseline,BTTS,btts_no,model,178,0.24534912121656005,0.004730741968196746,0.4502782536614933,0.449438202247191,-0.000840051414302323
m00_joint_baseline,BTTS,btts_no,market,178,0.2451580767568853,0.027234975256737102,0.44233024874027976,0.449438202247191,0.007107953506911235
m05_joint_production_wealth,1X2,ALL,model,1785,0.21297846015316335,0.02201694085737767,0.3333332577281699,0.3333333333333333,7.560516340765489e-8
m05_joint_production_wealth,1X2,ALL,market,1785,0.21156444032291422,0.018580646181840455,0.3333333333333333,0.3333333333333333,0.0
m05_joint_production_wealth,1X2,home,model,595,0.23923873206210605,0.04357793168866652,0.41180958599533085,0.43529411764705883,0.02348453165172798
m05_joint_production_wealth,1X2,home,market,595,0.23706791435384156,0.04621231839996138,0.42152996773744844,0.43529411764705883,0.01376414990961039
m05_joint_production_wealth,1X2,draw,model,595,0.19102198012121158,0.003918393926271524,0.2532244632165855,0.2571428571428571,0.003918393926271635
m05_joint_production_wealth,1X2,draw,market,595,0.19181809406595163,0.005316912021111431,0.2582268546420129,0.2571428571428571,-0.0010839974991557755
m05_joint_production_wealth,1X2,away,model,595,0.2086746682761726,0.02977783438736738,0.33496572397259344,0.30756302521008405,-0.027402698762509392
m05_joint_production_wealth,1X2,away,market,595,0.20580731254895002,0.043608169167124705,0.3202431776205387,0.30756302521008405,-0.01268015241045467
m05_joint_production_wealth,OU0.5,ALL,model,533,0.0514537338266075,0.014338193775090545,0.691000479570284,0.6848030018761726,-0.006197477694111386
m05_joint_production_wealth,OU0.5,ALL,market,533,0.05433616260677342,0.036416109478396845,0.7204502814258913,0.6848030018761726,-0.03564727954971869
m05_joint_production_wealth,OU0.5,over_05,model,384,0.058286907382292856,0.005649741759325737,0.9318502582406748,0.9375,0.0056497417593252
m05_joint_production_wealth,OU0.5,over_05,market,384,0.06244944618412792,0.03723185309412861,0.9736647011358328,0.9375,-0.03616470113583281
m05_joint_production_wealth,OU0.5,under_05,model,149,0.03384340734752567,0.03672990903719583,0.0702869560170616,0.03355704697986577,-0.03672990903719583
m05_joint_production_wealth,OU0.5,under_05,market,149,0.03342676063560476,0.03431379036134318,0.06787083734120897,0.03355704697986577,-0.034313790361343195
