model,market_key,selection,source,bin,lower,upper,n,mean_predicted,realized_win_rate,calibration_gap
m00_joint_baseline,OU0.5,over_05,market,9,0.8,0.9,2,0.8975534120036601,1.0,0.10244658799633988
m00_joint_baseline,OU0.5,over_05,market,10,0.9,1.0,382,0.9740631895606092,0.93717277486911,-0.03689041469149923
m00_joint_baseline,OU0.5,under_05,model,1,0.0,0.1,141,0.06861194430418403,0.03546099290780142,-0.03315095139638261
m00_joint_baseline,OU0.5,under_05,model,2,0.1,0.2,8,0.10519065993122108,0.0,-0.10519065993122108
m00_joint_baseline,OU0.5,under_05,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,1,0.0,0.1,147,0.06740041896494867,0.034013605442176874,-0.03338681352277179
m00_joint_baseline,OU0.5,under_05,market,2,0.1,0.2,2,0.10244658799633993,0.0,-0.10244658799633993
m00_joint_baseline,OU0.5,under_05,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU0.5,under_05,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,model,2,0.1,0.2,32,0.18832696051739709,0.125,-0.06332696051739709
m00_joint_baseline,OU1.5,ALL,model,3,0.2,0.3,160,0.246588444658566,0.23125,-0.015338444658565986
m00_joint_baseline,OU1.5,ALL,model,4,0.3,0.4,23,0.3230874077640066,0.34782608695652173,0.024738679192515156
m00_joint_baseline,OU1.5,ALL,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,model,7,0.6,0.7,23,0.6769125600931056,0.6521739130434783,-0.02473864704962736
m00_joint_baseline,OU1.5,ALL,model,8,0.7,0.8,160,0.7534113615073861,0.76875,0.015338638492613965
m00_joint_baseline,OU1.5,ALL,model,9,0.8,0.9,32,0.8116723905144565,0.875,0.0633276094855435
m00_joint_baseline,OU1.5,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,market,2,0.1,0.2,51,0.17588692718889973,0.19607843137254902,0.02019150418364929
m00_joint_baseline,OU1.5,ALL,market,3,0.2,0.3,154,0.24291855455351105,0.24025974025974026,-0.002658814293770795
m00_joint_baseline,OU1.5,ALL,market,4,0.3,0.4,10,0.31675878370299293,0.2,-0.11675878370299292
m00_joint_baseline,OU1.5,ALL,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,ALL,market,7,0.6,0.7,10,0.683241216297007,0.8,0.11675878370299309
m00_joint_baseline,OU1.5,ALL,market,8,0.7,0.8,152,0.7565167276234162,0.756578947368421,6.22197450048656e-5
m00_joint_baseline,OU1.5,ALL,market,9,0.8,0.9,53,0.8232031455352096,0.8113207547169812,-0.011882390818228394
m00_joint_baseline,OU1.5,ALL,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,model,7,0.6,0.7,23,0.6769125600931056,0.6521739130434783,-0.02473864704962736
