bet_id,portfolio_run_id,match_id,kickoff_date,market_family,selection,odds_close,stake_fraction,stake_amount,pnl,experiment,model,run_uuid,market_key,capacity_bucket,won
28789,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476553,2024-12-28,O/U 2.5_under_25,under_25,1.9769514836886508,0.0010585199411191587,1.630413170342541,-1.630413170342541,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,false
28790,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476710,2024-12-28,1X2_away,away,4.284183275241736,0.012120828839090868,18.669425305136333,-18.669425305136333,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28791,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476710,2024-12-28,1X2_draw,draw,3.690135528090743,0.002450932557475447,3.7751133125601255,9.952455115792601,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,true
28792,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476710,2024-12-28,O/U 2.5_under_25,under_25,2.04,0.0008294667895851566,1.2776080313343352,1.3021381055359544,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,true
28793,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476712,2024-12-28,1X2_away,away,2.6896277431243973,0.0027882697006042715,4.294705716668692,-4.294705716668692,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28794,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476712,2024-12-28,1X2_home,home,2.7411201539406207,0.002897756021735461,4.4633449014495765,7.615795366663931,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,true
28795,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476712,2024-12-28,O/U 2.5_under_25,under_25,2.47,0.006121400093728325,9.428647440688339,13.582909503055621,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,true
28796,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476713,2024-12-28,1X2_away,away,5.255776367076884,0.008977856417798287,13.8283793969403,57.67348042782199,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,true
28797,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476713,2024-12-28,1X2_draw,draw,3.820813339794144,0.0021542821584584824,3.3181897358221573,-3.3181897358221573,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28798,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476713,2024-12-28,O/U 2.5_under_25,under_25,1.888543511555709,0.0024814908484455515,3.822181523677755,-3.822181523677755,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,false
28799,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476713,2024-12-28,BTTS_btts_yes,btts_yes,2.0519833014544027,0.002318365176272738,3.570922918147531,3.6814202550585886,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,BTTS,fringe,true
28800,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476714,2024-12-28,1X2_away,away,4.455912294215988,0.007451660682766911,11.477616288703631,-11.477616288703631,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28801,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476714,2024-12-28,1X2_draw,draw,3.824584315450734,0.0009661688809217547,1.4881670217421206,-1.4881670217421206,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28802,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476714,2024-12-28,O/U 2.5_under_25,under_25,2.0715193098519555,0.00821329404400376,12.650742098520594,-12.650742098520594,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,false
28803,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476715,2024-12-28,1X2_away,away,3.725067140178423,0.024148794076902253,37.19581500679464,99.33387136262813,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,true
28804,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476715,2024-12-28,1X2_draw,draw,3.537821461037908,0.0045353463779115415,6.985686503736741,-6.985686503736741,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28805,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476715,2024-12-28,O/U 2.5_under_25,under_25,2.1300000000000003,0.005360558076253033,8.256740518906444,-8.256740518906444,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,false
28806,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476539,2025-01-04,1X2_away,away,2.620054778706277,0.007933217824057502,13.433548127740359,-13.433548127740359,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28807,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476539,2025-01-04,1X2_draw,draw,3.5582626969555147,0.00045529136250349166,0.7709580861107597,-0.7709580861107597,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28808,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476539,2025-01-04,O/U 2.5_over_25,over_25,2.13,0.011305810574686862,19.14445737486295,-19.14445737486295,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,false
28809,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476545,2025-01-04,1X2_away,away,3.4734027954126456,0.0052889431005568015,8.95592094682602,-8.95592094682602,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28810,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476545,2025-01-04,1X2_draw,draw,3.9784171764892124,0.0009186102453334975,1.5555094055152812,-1.5555094055152812,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28811,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476546,2025-01-04,1X2_away,away,4.792259051930193,0.007920483074657494,13.411984006755185,-13.411984006755185,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28812,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476546,2025-01-04,1X2_draw,draw,3.5642930443438567,0.0009315255757595097,1.5773793095959896,-1.5773793095959896,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28813,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476546,2025-01-04,O/U 2.5_over_25,over_25,2.24,0.00018758588777987572,0.31764463140469007,-0.31764463140469007,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,false
