model,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476772,2024-09-21,1X2_away,away,4.651251709771371,0.004054912789152151,-0.004054912789152151,-1.0,0.2515245797242682,0.21499588979439566
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476772,2024-09-21,1X2_home,home,1.9101945521963604,0.0013827521965702214,-0.0013827521965702214,-1.0,0.5002414626349204,0.5235068851233977
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476772,2024-09-21,O/U 2.5_under_25,under_25,2.181857477780974,0.006978182440904504,0.008082272757120819,1.1582203282253543,0.5049912605185652,0.4583250786009338
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476773,2024-09-21,1X2_away,away,3.4828869102211906,0.0017923421334088657,-0.0017923421334088657,-1.0,0.3047102712014523,0.2854779694253382
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476773,2024-09-21,1X2_home,home,2.185041955989494,0.0003437878183348752,0.0003992549289112228,1.1613411168697039,0.4527702046375895,0.4550427419219846
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476773,2024-09-21,O/U 2.5_under_25,under_25,2.317928701084116,0.0016903511986447008,0.002183207112413673,1.2915701270624336,0.4462299566472764,0.4305326437801414
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476774,2024-09-21,1X2_home,home,2.381413869434601,0.0024206004294689515,-0.0024206004294689515,-1.0,0.44192982306252143,0.41144130983253197
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476775,2024-09-21,1X2_away,away,4.059214619187536,0.008797544425146851,-0.008797544425146851,-1.0,0.3258301250616519,0.2463530741323929
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476775,2024-09-21,1X2_draw,draw,3.763625876100325,0.0017063955274097136,-0.0017063955274097136,-1.0,0.2558447518334278,0.2657012234797759
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476604,2024-09-28,1X2_away,away,4.25,0.0032153334737913377,-0.0032153334737913377,-1.0,0.2679914668651274,0.23484218131390838
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476604,2024-09-28,1X2_home,home,2.069864507800456,0.0005662552244276803,-0.0005662552244276803,-1.0,0.4718277939007005,0.48219546101822913
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476604,2024-09-28,O/U 2.5_under_25,under_25,1.87,0.00019066921059452316,-0.00019066921059452316,-1.0,0.5375486160847435,0.5241730279898218
