model,split,subset,n_obs,n_clusters,beta_intercept,se_intercept,beta_mkt,se_mkt,z_mkt,p_mkt,beta_edge,se_edge_naive,se_edge,z_edge_naive,z_edge,p_edge_naive,p_edge,mean_spread,sd_spread,deviance,nulldeviance,pseudo_r2
m05_hierarchical_kappa,all,OU2.5,758,379,-2.36470520130048,1.0378176814555111,4.729411362753785,2.075635742152063,2.2785362897298307,0.022694644904251538,3.666706005924583,1.7623627384617933,2.4888192688247233,2.0805626026370247,1.473271302522535,0.03747395992926378,0.14067789552785706,-1.3268169554860794e-7,0.05276997829620218,1040.1924393671334,1050.8111257288774,0.010105228334329364
m05_hierarchical_kappa,24/25,all,1372,318,-2.2887065645993325,0.19936445048075116,4.6526132988143925,0.4979318932476566,9.343874859006712,9.287161704351944e-21,3.132502101367793,1.2385445567190627,1.3970287387805833,2.5291799833716713,2.2422603160633923,0.011432938174103806,0.02494455293305887,-9.466208382342889e-8,0.053138240917525566,1754.9256156086774,1834.0749815188678,0.04315492371235763
m05_hierarchical_kappa,24/25,1X2,912,304,-2.554491311348287,0.40942144527787866,5.4959144458924145,1.1964248723362734,4.5936143363188995,4.35634155709895e-6,4.384168624199972,1.71829534751365,2.1284406396894524,2.551463943927803,2.0598030983093985,0.01072714229389826,0.03941736827095451,-7.868834450073302e-8,0.05925360508947874,1120.0543521416587,1161.001842969737,0.03526910062721211
m05_hierarchical_kappa,24/25,BTTS,84,42,-0.14497251175798703,2.793012089409634,0.2899423328246825,5.586025352743281,0.05190494394771994,0.9586044348875696,-12.94006374615968,8.486328259490522,12.244223996551563,-1.5248130110555655,-1.0568300408261146,0.12730574370656372,0.29058916142526703,-1.0356786791272071e-7,0.029703352881147577,113.4130160176206,116.44872633407087,0.026069072732846754
m05_hierarchical_kappa,24/25,OU2.5,376,188,-2.3811491915854663,1.6195543435958215,4.762299424821331,3.2391090542704424,1.4702497955549578,0.14149411274406362,4.012318354075526,2.795154778100528,4.027770284555622,1.4354548039740869,0.9961636515023347,0.15115753860645617,0.31917063712617455,-1.3141730828780083e-7,0.03998378229468083,516.3600431150478,521.2466797810799,0.009374902240306793
m05_hierarchical_kappa,25/26,all,1527,309,-2.1698857903404796,0.184766686337652,4.333842246730808,0.44385743161642494,9.764041194371734,1.606241110742084e-22,1.358592065583901,0.9631017708791401,1.0601362482049683,1.410642267165337,1.281525905641167,0.15835012203862645,0.20000900668858862,-1.0858989277514456e-7,0.07220600572160907,1954.839010017302,2061.075057505323,0.0515439974401547
m05_hierarchical_kappa,25/26,1X2,873,291,-1.968358541128954,0.3925146214768127,3.719677321593089,1.1562115847456431,3.2171251098572817,0.0012948212220727498,-0.12009171368572373,1.5149333703879164,1.8648696286230118,-0.07927194425387359,-0.06439684138906666,0.9368163213004721,0.9486542450149787,-9.10036446987863e-8,0.08399784820322978,1058.7286512330302,1111.3537378427402,0.04735223792188892
m05_hierarchical_kappa,25/26,BTTS,272,136,-2.620746070338355,1.3745837197860507,5.241493323815068,2.7491682798890835,1.9065742036084232,0.056575748229718954,4.629578967664232,4.428913949020317,6.233724732319854,1.045307951555099,0.74266657038309,0.29588066380101213,0.4576835738240663,-1.2945134975420047e-7,0.032999967794503315,369.47484590398443,377.072066224611,0.02014792661968523
m05_hierarchical_kappa,25/26,OU2.5,382,191,-2.312810290636193,1.3963021771899427,4.625621490623367,2.7926049424017125,1.656382333351173,0.09764441648658272,3.445876700912949,2.35684037903224,3.30141597175198,1.4620747045788,1.0437572030901356,0.14372073960573833,0.2965977366786742,-1.3392622332931057e-7,0.06292273485185514,523.8068128924792,529.5644459477993,0.010872393529016477
m12_joint_hybrid_synergy,all,all,2899,627,-2.2545894188150255,0.13123833469908433,4.551791539563635,0.3208671093845834,14.18590876545084,1.1200530264442783e-45,2.045224058623467,0.7182907834124829,0.7969163756844421,2.8473483244584314,2.566422426527375,0.0044085096355541906,0.010275360604002182,-6.683463108693078e-8,0.06818409216563118,3710.0771816997103,3895.875497625732,0.047691030177749005
m12_joint_hybrid_synergy,all,1X2,1785,595,-2.3132494839119726,0.2762262516265565,4.7658942148690935,0.8085435236151156,5.894418884910595,3.7600224231160725e-9,2.0634987259215154,0.9945509604091707,1.2319088528489937,2.0748044173348004,1.6750417217550895,0.03800466502838172,0.09392604600100071,-5.4761598565119936e-8,0.07880842637252324,2181.0124224446827,2272.3555808125334,0.04019756377001038
m12_joint_hybrid_synergy,all,BTTS,356,178,-1.9912414406182595,1.465690853252764,3.982482946311222,2.9313824512262343,1.3585681884140703,0.17428346135056166,0.37539822529341543,4.420540513657629,6.134158936433807,0.08492134030523897,0.06119799457163386,0.9323239259593733,0.9512015268411749,-8.703152714673659e-8,0.034240324939419454,486.55704661470236,493.5207925586821,0.014110339521615445
m12_joint_hybrid_synergy,all,OU2.5,758,379,-2.8789662611159286,1.3045838109391903,5.757933307257078,2.6091680442433676,2.2068081509586404,0.027327465373166153,4.615455161139798,2.3095030176825153,3.2655599926193495,1.9984624942257943,1.4133732565230503,0.04566654219926297,0.1575460046847613,-8.577957575033863e-8,0.0511013951851052,1040.531557883379,1050.8111257288774,0.009782507620832548
m12_joint_hybrid_synergy,24/25,all,1372,318,-2.3465208107148574,0.19841779300769505,4.7986279933733025,0.49542628219735335,9.685856737535305,3.4629282099824466e-22,3.239551715821633,1.150641251129618,1.3002475124829844,2.815431580122189,2.491488493321788,0.0048711768149640915,0.01272090874892913,-5.565810981795702e-8,0.058561967489846,1753.4018709753175,1834.0749815188678,0.043985721061819305
m12_joint_hybrid_synergy,24/25,1X2,912,304,-2.565220931680573,0.41356706001390653,5.528203433727926,1.208990206289897,4.572579169762397,4.8175710344776055e-6,3.928046980019339,1.5368190776537622,1.9042122025748336,2.5559592779237406,2.0628199812541483,0.010589551083086693,0.0391297348897399,-4.697468037781312e-8,0.06682752768220317,1120.039958499009,1161.001842969737,0.035281498232553554
m12_joint_hybrid_synergy,24/25,BTTS,84,42,-0.9962431585827846,3.0253085891330325,1.9924860324443119,6.050618071995916,0.32930289248732086,0.7419267580470261,-2.226548787050533,8.263691050242665,11.796775043144914,-0.2694375640997796,-0.18874215867533872,0.7875929826172681,0.8502949075447441,-6.385872548412116e-8,0.03288183859096177,115.7549149167856,116.44872633407087,0.00595808506565243
