model,match_id,selection,prob_model,prob_fair,y,spread,family,odds_close,season,match_date,logloss_model,logloss_market,split
m12_hierarchical_kappa,14035550,draw,0.25857177900008055,0.29010135840080087,1.0,-0.03152957940072032,1X2,3.4288512826416464,25/26,2025-11-22,1.352581948529567,1.2375249053397133,all
m12_hierarchical_kappa,14035550,home,0.4198359432490723,0.3258390219665081,0.0,0.0939969212825642,1X2,3.0527786661197176,25/26,2025-11-22,0.5444443589709039,0.3942863567752149,all
m12_hierarchical_kappa,14035550,btts_no,0.4653716520031962,0.42647058823529416,1.0,0.03890106376790203,BTTS,2.34,25/26,2025-11-22,0.7649189410064936,0.8522118751896326,all
m12_hierarchical_kappa,14035550,btts_yes,0.53462827414129,0.5735294117647058,0.0,-0.03890113762341585,BTTS,1.74,25/26,2025-11-22,0.7649187823042872,0.8522118751896326,all
m12_hierarchical_kappa,14035550,over_25,0.49460519026565836,0.5149253731343284,0.0,-0.020320182868670045,OU2.5,1.95,25/26,2025-11-22,0.6824153537002029,0.7234525300552743,all
m12_hierarchical_kappa,14035550,under_25,0.5053947358788278,0.48507462686567165,1.0,0.020320109013156118,OU2.5,2.07,25/26,2025-11-22,0.682415499834508,0.7234525300552742,all
m12_hierarchical_kappa,14035551,away,0.19791697470631514,0.0889375861949681,0.0,0.10897938851134704,1X2,11.25,25/26,2025-11-22,0.22054315366365806,0.09314387275719106,all
m12_hierarchical_kappa,14035551,draw,0.22770232113853786,0.17103381960570788,0.0,0.056668501532829985,1X2,5.85,25/26,2025-11-22,0.2583852088996366,0.1875759203433116,all
m12_hierarchical_kappa,14035551,home,0.5743798304754568,0.740028594199324,1.0,-0.16564876372386717,1X2,1.352039438119194,25/26,2025-11-22,0.554464375939398,0.3010664527205612,all
m12_hierarchical_kappa,14035551,btts_no,0.483984360321743,0.5075376884422111,0.0,-0.02355332812046812,BTTS,1.96,25/26,2025-11-22,0.6616182045059102,0.7083373460539206,all
m12_hierarchical_kappa,14035551,btts_yes,0.5160147659985665,0.49246231155778897,1.0,0.02355245444077758,BTTS,2.02,25/26,2025-11-22,0.6616198976337204,0.7083373460539204,all
m12_hierarchical_kappa,14035552,away,0.2867311885773875,0.13773877239869226,0.0,0.14899241617869524,1X2,7.246702383980034,25/26,2025-11-22,0.3378969150020245,0.1481970059669154,all
