model,config,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476633,2024-08-10,1X2_away,away,3.7557421467495926,0.003862933052874872,0.01043234247540177,2.700627303814601,0.3022950338972876,0.26478650844563517
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476633,2024-08-10,O/U 2.5_under_25,under_25,2.28,0.011057536896799282,0.013870574283345016,1.2543999999999997,0.5224221019043052,0.43842364532019706
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476635,2024-08-10,1X2_away,away,3.8007022463551037,0.000501049277615616,-0.000501049277615616,-1.0,0.2616881885734321,0.26270335620261337
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476635,2024-08-10,1X2_home,home,2.18,0.002880407620954942,0.0033309033728722956,1.1564,0.4812258664135487,0.45800790644233835
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476636,2024-08-10,1X2_away,away,4.379479502000953,0.010483609098428381,-0.010483609098428381,-1.0,0.3252132560039469,0.2227936429224027
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476636,2024-08-10,1X2_draw,draw,4.059750780991914,0.004535916314530498,-0.004535916314530498,-1.0,0.2604816198237355,0.24033992355471284
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476794,2024-08-10,1X2_away,away,4.056988019573348,0.0038512470706636073,-0.0038512470706636073,-1.0,0.2887419103472504,0.24496433485025887
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476797,2024-08-10,1X2_away,away,3.224454979073816,0.007094367077445626,-0.007094367077445626,-1.0,0.3749317867712133,0.3101299309464191
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476797,2024-08-10,O/U 2.5_under_25,under_25,2.15,0.005722354963727694,0.006449094044121111,1.127,0.502485072344999,0.45843828715365237
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476798,2024-08-10,1X2_home,home,2.910181870662802,0.011381863046648883,-0.011381863046648883,-1.0,0.44269622983448104,0.3428428824951162
