model,fold,n_teams,n_draws,kappa_global_mean,kappa_global_lo,kappa_global_hi,nu_mean,sigma_kappa_mean,sigma_kappa_lo,sigma_kappa_hi,p_sigma_gt_005,n_teams_separated,delta_max,delta_min
m12_joint_hybrid_synergy,6,25,3200,1.080658199911327,1.005910344341831,1.1698406243347799,3.6551218689804195,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,7,25,3200,1.0768610038681148,0.9928282376674051,1.1527264425458383,3.5106412719432525,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,8,25,3200,1.0755743957827748,0.9926109189418539,1.158952342527952,3.3826046761540236,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,9,25,3200,1.0741629328957882,0.9923731416180254,1.1546760361175408,3.3453138133807077,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,10,25,3200,1.0729780188522675,0.987510679761672,1.151214888789278,3.365143407431357,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,11,25,3200,1.0944316267071188,1.011829157613273,1.1680027661945276,3.488407752022218,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,12,25,3200,1.0993403510184878,1.020291475872054,1.183438864502238,3.4975407775298235,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,13,25,3200,1.082008361176918,1.0059437556559467,1.1629681210824028,3.542699057720336,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,14,25,3200,1.0845048207541,0.9977384527118884,1.1638251251036316,3.498759085717589,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,15,25,3200,1.091336284188305,1.014711344448108,1.1678793958628335,3.5505299596837254,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,16,25,3200,1.0940996799126015,1.0163372481478397,1.1711983143644944,3.568831943289466,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,17,25,3200,1.0880926273438838,1.0176134054537085,1.1626851379595164,3.5195130762305293,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,18,25,3200,1.0871454152944477,1.0133079043794593,1.1646269068609998,3.65722373455249,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,19,25,3200,1.1045434601428457,1.0300705607837009,1.1794276092732117,3.588236368195875,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,20,25,3200,1.1139027093305627,1.0371736905762314,1.1885012235751937,3.488117066479449,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,21,22,3200,1.1016900472533162,1.0234593192949841,1.1723616154226755,3.606511404014252,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,22,23,3200,1.1032459598448299,1.0108146961571156,1.1875411568940581,3.4917771515558695,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,23,23,3200,1.1105880624952984,1.027268565536583,1.1959128741846514,3.3821977051265133,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,24,23,3200,1.1033264729343844,1.0155874266739666,1.1835256891986057,3.3427223712782568,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,25,23,3200,1.1065464827378364,1.0201826927501219,1.184673252641766,3.4184330051826577,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,26,23,3200,1.1103907961799278,1.0305930006634862,1.1871690699912287,3.4992132213778997,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,27,23,3200,1.1096022412752324,1.023916892931975,1.1893819604342881,3.580030574309883,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,28,23,3200,1.100645458933304,1.0115542676089184,1.1749848765889834,3.6544535536018463,NaN,NaN,NaN,NaN,0,NaN,NaN
