model,fold,r_hat_max,ess_bulk_min,ess_tail_min,divergences,converged,runtime_seconds
m05_hierarchical_kappa,37,1.0049685815012752,1197,1434,0,true,473.3743563711643
m05_hierarchical_kappa,38,1.0041751962477488,1171,1255,0,true,473.3743563711643
m05_hierarchical_kappa,39,1.0063614191889132,1451,1209,0,true,473.3743563711643
m05_hierarchical_kappa,40,1.0050746757462896,1228,988,0,true,473.3743563711643
m05_joint_production_wealth,1,1.0044415667256859,1295,1768,0,true,207.91782125234604
m05_joint_production_wealth,2,1.004780229876548,1095,1556,0,true,207.91782125234604
m05_joint_production_wealth,3,1.0076060374558609,1219,1333,0,true,207.91782125234604
m05_joint_production_wealth,4,1.004232866606113,1205,1326,0,true,207.91782125234604
m05_joint_production_wealth,5,1.0048625594694125,1138,1243,0,true,207.91782125234604
m05_joint_production_wealth,6,1.0044755397224328,1131,1516,0,true,207.91782125234604
m05_joint_production_wealth,7,1.0056252777006127,1022,1531,0,true,207.91782125234604
m05_joint_production_wealth,8,1.007199613907822,940,936,0,true,207.91782125234604
m05_joint_production_wealth,9,1.0054490006053078,995,1500,0,true,207.91782125234604
m05_joint_production_wealth,10,1.0056243150143394,972,1230,0,true,207.91782125234604
m05_joint_production_wealth,11,1.007116988832468,1148,1140,0,true,207.91782125234604
m05_joint_production_wealth,12,1.0055890681557749,1168,1378,0,true,207.91782125234604
m05_joint_production_wealth,13,1.0050954010807265,1059,1536,0,true,207.91782125234604
m05_joint_production_wealth,14,1.0045155625310211,951,948,0,true,207.91782125234604
m05_joint_production_wealth,15,1.0073839423728739,997,1055,0,true,207.91782125234604
m05_joint_production_wealth,16,1.004702032082329,1003,1194,0,true,207.91782125234604
m05_joint_production_wealth,17,1.008394826111158,791,1526,0,true,207.91782125234604
m05_joint_production_wealth,18,1.0061146074024627,1101,1008,0,true,207.91782125234604
m05_joint_production_wealth,19,1.0064699809144726,1095,1148,0,true,207.91782125234604
m05_joint_production_wealth,20,1.0046291891112187,889,1529,0,true,207.91782125234604
m05_joint_production_wealth,21,1.005960464760316,647,252,0,false,207.91782125234604
m05_joint_production_wealth,22,1.006766806095898,968,897,0,true,207.91782125234604
m05_joint_production_wealth,23,1.0049817921678759,958,1467,0,true,207.91782125234604
m05_joint_production_wealth,24,1.005822147121072,968,1570,0,true,207.91782125234604
m05_joint_production_wealth,25,1.0054851458495873,989,934,0,true,207.91782125234604
m05_joint_production_wealth,26,1.0052909341168739,1125,1012,1,true,207.91782125234604
m05_joint_production_wealth,27,1.0056575239193164,1191,1642,0,true,207.91782125234604
m05_joint_production_wealth,28,1.0048756823942764,1181,1401,0,true,207.91782125234604
m05_joint_production_wealth,29,1.0060161857571328,1227,1055,0,true,207.91782125234604
m05_joint_production_wealth,30,1.0067251687025534,1181,1440,0,true,207.91782125234604
m05_joint_production_wealth,31,1.0036853595474617,1180,1823,0,true,207.91782125234604
m05_joint_production_wealth,32,1.0058593728695273,1458,1209,0,true,207.91782125234604
m05_joint_production_wealth,33,1.0054350784671735,1083,1096,0,true,207.91782125234604
m05_joint_production_wealth,34,1.004267984817277,1295,1210,0,true,207.91782125234604
m05_joint_production_wealth,35,1.0040672286775585,1099,1210,0,true,207.91782125234604
m05_joint_production_wealth,36,1.0038203303283,1164,1483,0,true,207.91782125234604
m05_joint_production_wealth,37,1.0044187010907963,986,1622,0,true,207.91782125234604
m05_joint_production_wealth,38,1.0048431338934258,1098,1085,0,true,207.91782125234604
m05_joint_production_wealth,39,1.0067420044042874,1015,1033,0,true,207.91782125234604
m05_joint_production_wealth,40,1.0052140735885395,1143,1166,0,true,207.91782125234604
m12_hierarchical_kappa,1,1.0051573783594032,993,1245,0,true,611.5902146756649
m12_hierarchical_kappa,2,1.0069166261809788,1241,1354,0,true,611.5902146756649
m12_hierarchical_kappa,3,1.0058551863806606,1089,1203,0,true,611.5902146756649
m12_hierarchical_kappa,4,1.0091196013751829,1201,1302,0,true,611.5902146756649
