idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
6,2024-09-14,8,22,1160.1545100423273,1192.1311092353722,0.11437017806142649,0.027562362526934867,0.11437017806142649,0.25392166808828787,false,m13_joint_composite,P_baseline,0.0,1.0
7,2024-09-21,9,18,1192.1311092353722,1178.3015864744364,0.08225687680755013,-0.011600672655716548,0.08225687680755013,0.27328501053094745,false,m13_joint_composite,P_baseline,0.0,1.0
8,2024-09-28,9,24,1178.3015864744364,1191.8096281293863,0.06768959963650935,0.011463993437679103,0.06768959963650936,0.26707281007232087,false,m13_joint_composite,P_baseline,-0.011600672655716515,1.0
9,2024-10-05,9,20,1191.8096281293863,1211.056913179171,0.09063164856915756,0.016149630440555163,0.09063164856915755,0.2726890779510493,false,m13_joint_composite,P_baseline,-0.00026966925323512747,1.0
10,2024-10-19,9,26,1211.056913179171,1209.3290536189465,0.09718812396081308,-0.0014267368786895222,0.09718812396081311,0.26482636622089617,false,m13_joint_composite,P_baseline,0.0,1.0
11,2024-10-26,5,8,1209.3290536189465,1228.7099716932373,0.049003157225150765,0.01602617419658673,0.049003157225150765,0.27740076407031,false,m13_joint_composite,P_baseline,-0.0014267368786894385,1.0
12,2024-11-02,9,17,1228.7099716932373,1183.5566107886882,0.10719527402156577,-0.03674859156740215,0.10719527402156577,0.26434491572488783,false,m13_joint_composite,P_baseline,0.0,1.0
13,2024-11-09,9,19,1183.5566107886882,1304.6995604027024,0.08655935474158079,0.10235501074451182,0.0865593547415808,0.2640403587286933,false,m13_joint_composite,P_baseline,-0.03674859156740218,1.0
14,2024-11-16,9,23,1304.6995604027024,1373.9873972372432,0.08636960546886449,0.05310635408902467,0.08636960546886452,0.26208623296829336,false,m13_joint_composite,P_baseline,0.0,1.0
15,2024-11-23,1,3,1373.9873972372432,1362.2881200416998,0.0289954725305784,-0.008514835885007177,0.0289954725305784,0.27800133607376015,false,m13_joint_composite,P_baseline,0.0,1.0
16,2024-11-30,1,2,1362.2881200416998,1354.503413090162,0.005714435028105256,-0.005714435028105256,0.005714435028105256,0.27470932998595055,false,m13_joint_composite,P_baseline,-0.008514835885007233,1.0
17,2024-12-03,3,6,1354.503413090162,1370.776044952588,0.03130482971610768,0.012013725255443714,0.03130482971610768,0.2713015482408155,false,m13_joint_composite,P_baseline,-0.01418061343667254,1.0
