model,container,family,group,line,selection,n_bets,kelly_roi,efficiency,tier
m05_joint_production_wealth,std,1X2_away,1x2,0.0,away,215,17.86554123249539,1.0902986819173062,0.35
m05_joint_production_wealth,std,1X2_home,1x2,0.0,home,159,29.440933770889963,1.796722017378956,0.35
m05_joint_production_wealth,std,O/U 2.5_under_25,over_under,2.5,under_25,106,15.210174445733744,0.92824689350872,0.25
m05_joint_production_wealth,std,1X2_draw,1x2,0.0,draw,113,-15.148254038027915,-0.924468013371428,0.0
m05_joint_production_wealth,std,O/U 3.5_over_35,over_under,3.5,over_35,49,-8.159412287838924,-0.49795281021038873,0.0
m05_joint_production_wealth,std,O/U 3.5_under_35,over_under,3.5,under_35,25,18.91212067299477,1.15416935729448,0.0
m05_joint_production_wealth,std,O/U 2.5_over_25,over_under,2.5,over_25,25,16.15936405530403,0.9861740599312921,0.0
m05_joint_production_wealth,std,O/U 1.5_under_15,over_under,1.5,under_15,46,35.240230622975226,2.1506416457625055,0.0
m05_joint_production_wealth,std,BTTS_btts_no,btts,0.0,btts_no,12,-50.588021993535556,-3.0872870282839746,0.0
m05_joint_production_wealth,std,O/U 1.5_over_15,over_under,1.5,over_15,12,20.884094120031037,1.2745150004574697,0.0
m05_joint_production_wealth,std,BTTS_btts_yes,btts,0.0,btts_yes,13,15.949959640871738,0.9733945222687043,0.0
m05_joint_production_wealth,inv,1X2_away,1x2,0.0,away,210,19.27490025482819,1.0856537735280187,0.35
m05_joint_production_wealth,inv,1X2_home,1x2,0.0,home,163,34.209967050895486,1.9268675495101766,0.35
m05_joint_production_wealth,inv,O/U 2.5_under_25,over_under,2.5,under_25,99,1.9033338163950237,0.10720478512126869,0.0
m05_joint_production_wealth,inv,O/U 3.5_over_35,over_under,3.5,over_35,49,-6.558450887220348,-0.3694030506033568,0.0
m05_joint_production_wealth,inv,1X2_draw,1x2,0.0,draw,68,-6.5411569861538545,-0.3684289760969451,0.0
m05_joint_production_wealth,inv,O/U 3.5_under_35,over_under,3.5,under_35,23,22.549687588758978,1.2701053234494328,0.0
m05_joint_production_wealth,inv,O/U 1.5_under_15,over_under,1.5,under_15,36,60.75410262180287,3.421959122831099,0.0
m05_joint_production_wealth,inv,O/U 2.5_over_25,over_under,2.5,over_25,26,17.86795372650429,1.0064078740715807,0.0
m05_joint_production_wealth,inv,BTTS_btts_no,btts,0.0,btts_no,13,-61.37253385196748,-3.4567921019811516,0.0
m05_joint_production_wealth,inv,BTTS_btts_yes,btts,0.0,btts_yes,10,-2.3423926359870197,-0.13193465962069223,0.0
m05_joint_production_wealth,inv,O/U 1.5_over_15,over_under,1.5,over_15,7,18.020462622937465,1.014997898233589,0.0
