arm,model,container,trust,window,n_bets,n_slates,total_return_pct,flat_roi_pct,roi_1x2_pct,max_drawdown_pct,sharpe_ann,calmar,sortino,win_rate,mean_exposure,total_stake,total_pnl
E_refit_trust,m05_joint_production_wealth,raw,refit_P?,evaluation,324,50,-3.752909896012946,0.23205258036295306,0.23205258036295787,-23.850895494517477,-0.15145514479738326,-0.15734880465497048,-0.023682114884896924,0.2777777777777778,0.044921319123833924,2.2460659561916967,0.0052120540079966665
E_refit_trust,m05_joint_production_wealth,raw,refit_P?,full,686,100,67.463603723943,13.936853578379269,13.9368535783793,-23.85089549451752,1.017794863158105,2.8285564262964678,0.17710525553359777,0.3104956268221574,0.042449304124792524,4.244930412479252,0.5916097360913245
E_comparator,m05_joint_production_wealth,raw,flat_1.0,evaluation,993,50,22.173644745277386,4.814283265747916,4.321970747504141,-21.774701948516757,0.6840379606090262,1.0183213895512266,0.10063183782736514,0.3564954682779456,0.10760959628389669,5.380479814194835,0.2590315393117265
E_comparator,m05_joint_production_wealth,raw,canonical_P1,evaluation,632,50,31.246730816894086,8.371897168779524,4.419750784531619,-18.169319114491994,0.9831524112238759,1.7197524365110326,0.15794912838041475,0.30537974683544306,0.07765089238597848,3.882544619298925,0.32504264305968844
E_refit_trust,m05_joint_production_wealth,std,refit_P?,evaluation,447,50,11.837184457224303,7.903971883742731,7.182468137427756,-10.864485700467656,0.7851295529257515,1.0895301244415811,0.12281907554838194,0.33109619686800895,0.03182546338296223,1.591273169148112,0.12577378388300867
E_refit_trust,m05_joint_production_wealth,std,refit_P?,full,927,100,61.46837747512952,15.941575246023541,16.216301389304885,-10.864485700467633,1.5397240442964777,5.657734675142863,0.28726513516107177,0.3592233009708738,0.031891197734319976,3.189119773431997,0.5083959283674773
E_comparator,m05_joint_production_wealth,std,flat_1.0,evaluation,906,50,17.80587448966702,6.6795969330550236,8.373904164604761,-9.683404937264111,1.1435000052915547,1.8388030455223099,0.17564693132832435,0.3543046357615894,0.053307271523824,2.6653635761912002,0.17803554369003313
E_comparator,m05_joint_production_wealth,std,canonical_P1,evaluation,604,50,18.927658418086523,9.482487146044717,8.81283831422011,-9.87303055496789,1.1934479125429265,1.917107246119333,0.19067386177792364,0.31125827814569534,0.039645982633314925,1.9822991316657466,0.18797126035636044
E_refit_trust,m05_joint_production_wealth,inv,refit_P?,evaluation,340,50,-0.310739810260674,0.5216280919642197,0.5216280919642189,-11.49913970654106,-0.027555741304250952,-0.02702287459677664,-0.004523066519697233,0.2823529411764706,0.02119115794810318,1.059557897405159,0.005526951643490735
E_refit_trust,m05_joint_production_wealth,inv,refit_P?,full,713,100,29.45871683558665,13.35323090318011,13.353230903180098,-11.499139706541053,1.1352349672578799,2.561819195815984,0.20549979221723227,0.3141654978962132,0.02048015809406657,2.0480158094066567,0.27347627996370394
E_comparator,m05_joint_production_wealth,inv,flat_1.0,evaluation,852,50,10.854131767836893,4.975960532324448,4.75787037510703,-10.151388584451603,0.7854454761132996,1.0692263110153866,0.11016650579016965,0.35563380281690143,0.04613559606172336,2.306779803086168,0.11478445256919935
E_comparator,m05_joint_production_wealth,inv,canonical_P1,evaluation,566,50,15.481107353667412,9.171510379832718,4.879173210190049,-10.35733496832288,1.184519686281254,1.4946998818726245,0.1840698489748687,0.31448763250883394,0.03361565840882357,1.680782920441178,0.15415318001071812
