model,container,form,scheme,trust,panel,n_bets,n_matched,n_unmatched,mean_clv_pct,median_clv_pct,stake_weighted_clv_pct,pct_positive,mean_fair_gain
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,canonical_P1,P,974,870,104,0.5665908001994858,0.7547277284119414,1.0594233481645374,54.94252873563219,0.002527310564294012
m05_joint_production_wealth,raw,none,none,flat_1.0,P,1595,1221,374,0.38915478680732923,0.4608294930875667,0.9534645658361478,52.661752661752665,0.0020847479744139073
m05_joint_production_wealth,raw,none,none,canonical_P1,P,1113,997,116,0.3695746866594766,0.42918454935623185,0.9909224814626804,52.15646940822467,0.002064928997266939
m05_joint_production_wealth,std_A_pool,std,A_pool,flat_1.0,P,1497,1154,343,0.5383977881827655,0.6624417669744975,1.0519429141881307,54.07279029462738,0.00256197406363702
m05_joint_production_wealth,std_A_pool,std,A_pool,canonical_P1,P,1078,964,114,0.5252815398350618,0.6624417669744975,1.0455481402766047,53.7344398340249,0.0025535639738455893
m05_joint_production_wealth,std_B_full,std,B_full,flat_1.0,P,1491,1149,342,0.5418262046677287,0.6659758541745386,1.0552690461100989,54.22106179286336,0.0025732380644935757
m05_joint_production_wealth,std_B_full,std,B_full,canonical_P1,P,1072,959,113,0.5288505517763719,0.6830264738991287,1.048581651268849,53.910323253388945,0.002564892983870761
m05_joint_production_wealth,std_B_anch,std,B_anch,flat_1.0,P,1497,1151,346,0.5422697098591329,0.6659758541745386,1.0501599440076785,54.12684622067767,0.002563658944275389
m05_joint_production_wealth,std_B_anch,std,B_anch,canonical_P1,P,1080,964,116,0.5307005375717072,0.6745011640368337,1.0434496247400924,53.83817427385892,0.0025569148584640377
m05_joint_production_wealth,std_C_sqrt,std,C_sqrt,flat_1.0,P,1496,1154,342,0.5445233814249486,0.66609265913391,1.0528542377626806,54.15944540727903,0.002581493042201497
m05_joint_production_wealth,std_C_sqrt,std,C_sqrt,canonical_P1,P,1076,963,113,0.5259884003226544,0.6659758541745386,1.0465818594311902,53.79023883696781,0.0025507232319111335
m05_joint_production_wealth,std_D_sup,std,D_sup,flat_1.0,P,1490,1148,342,0.5613582867966747,0.6770837067482272,1.0553540343505565,54.35540069686411,0.002628786798278803
m05_joint_production_wealth,std_D_sup,std,D_sup,canonical_P1,P,1073,960,113,0.5309691929076047,0.6895666428872183,1.0495291210430382,53.958333333333336,0.0025735573187915728
m05_joint_production_wealth,std_D_sup_anch,std,D_sup_anch,flat_1.0,P,1496,1152,344,0.5413388262167241,0.6686752018453035,1.0499026810526844,54.25347222222222,0.002563511517894741
m05_joint_production_wealth,std_D_sup_anch,std,D_sup_anch,canonical_P1,P,1076,962,114,0.5217282963404125,0.6745011640368337,1.0442691129387187,53.84615384615385,0.0025330602775241262
m05_joint_production_wealth,std_D_tot,std,D_tot,flat_1.0,P,1492,1151,341,0.5360258373698572,0.6581494386372455,1.0551657675271984,53.953084274543876,0.0025561969507448645
m05_joint_production_wealth,std_D_tot,std,D_tot,canonical_P1,P,1077,964,113,0.5252815398350618,0.6624417669744975,1.0472285854094852,53.7344398340249,0.0025535639738455893
m05_joint_production_wealth,inv_A_pool,inv,A_pool,flat_1.0,P,1313,1015,298,0.6715442008404636,0.7575757575757569,1.0734389522601913,56.55172413793103,0.0029789477997967527
m05_joint_production_wealth,inv_A_pool,inv,A_pool,canonical_P1,P,944,844,100,0.6256874615838457,0.7255901992744174,1.0266472256473262,55.21327014218009,0.0028569090139836
m05_joint_production_wealth,inv_B_full,inv,B_full,flat_1.0,P,1328,1026,302,0.6141397816780934,0.6770837067482272,1.0473028534020317,55.84795321637427,0.0027346148605222305
m05_joint_production_wealth,inv_B_full,inv,B_full,canonical_P1,P,941,846,95,0.5589207739620048,0.6558721049395366,0.9993969478552184,54.60992907801418,0.0026441844383178754
m05_joint_production_wealth,inv_B_anch,inv,B_anch,flat_1.0,P,1330,1020,310,0.6483599027299138,0.6978949003454527,1.072425933917276,55.98039215686274,0.0029133275073610064
m05_joint_production_wealth,inv_B_anch,inv,B_anch,canonical_P1,P,956,852,104,0.5881685217343812,0.6624417669744975,1.0161214323496617,54.81220657276995,0.0027364772168725357
m05_joint_production_wealth,inv_C_sqrt,inv,C_sqrt,flat_1.0,P,1310,1015,295,0.6629076569072865,0.75452416786701,1.0685850095430034,56.45320197044335,0.002958435015914757
m05_joint_production_wealth,inv_C_sqrt,inv,C_sqrt,canonical_P1,P,941,845,96,0.6048858842986357,0.6830264738991287,1.021225863305984,55.02958579881657,0.0028154841084787
m05_joint_production_wealth,inv_D_sup,inv,D_sup,flat_1.0,P,1307,1012,295,0.6170408351850094,0.6978949003454527,1.0415147196367076,56.126482213438734,0.002801292369835821
m05_joint_production_wealth,inv_D_sup,inv,D_sup,canonical_P1,P,937,843,94,0.5353649390592612,0.6489173371763579,0.9916968075461534,54.32977461447212,0.0025749267389649643
m05_joint_production_wealth,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,P,1319,1022,297,0.608549303277484,0.6978949003454527,1.0535739717399606,55.968688845401175,0.00279324949225127
m05_joint_production_wealth,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,P,948,849,99,0.5385418406860794,0.651578051143975,1.0004497669819534,54.41696113074205,0.0025811502597740117
m05_joint_production_wealth,inv_D_tot,inv,D_tot,flat_1.0,P,1310,1014,296,0.7001074186086576,0.7777034752559753,1.0780243776514675,56.80473372781065,0.0030450039448954996
m05_joint_production_wealth,inv_D_tot,inv,D_tot,canonical_P1,P,938,841,97,0.645191761879906,0.7575757575757569,1.0321379141637894,55.529131985731276,0.0029219947820297103
