model,container,form,scheme,trust,target_mdd,risk_lambda,kelly_fraction,total_return_pct,sharpe_ann,calmar,realised_mdd,deepest_mdd,n_settings,reached
m12_joint_hybrid_synergy,inv_B_anch,inv,B_anch,flat_1.0,-23.44618631203682,15.0,0.3,65.14325906625247,1.0485756927473264,3.0371757406847997,-21.448630118309996,-32.88222931689743,24,true
m12_joint_hybrid_synergy,inv_C_sqrt,inv,C_sqrt,flat_1.0,-23.44618631203682,15.0,0.5,64.0358272816447,1.040580952208227,3.02860718554028,-21.143655600956123,-32.50401606360795,24,true
m12_joint_hybrid_synergy,inv_D_sup,inv,D_sup,flat_1.0,-23.44618631203682,15.0,0.5,63.87423836898867,1.0321537261384723,2.992218382175576,-21.34678362698485,-33.01211029808094,24,true
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,-23.44618631203682,15.0,0.5,64.96363240804222,1.0451042228606506,3.0650465236108015,-21.194990649444144,-32.682071772312746,24,true
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,-23.44618631203682,15.0,0.3,63.40131534080804,1.035173298684695,2.975495287296451,-21.307819108802814,-32.75174741620723,24,true
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,-16.148567670505155,23.0,0.3,151.52046006000467,1.5922465968934099,9.382903991959111,-16.148567670505155,-39.87098501854617,24,true
m12_joint_hybrid_synergy,std_A_pool,std,A_pool,canonical_P1,-16.148567670505155,18.0,0.4,97.19836289431585,1.5715349522988216,6.763413631366386,-14.37119895248507,-27.341755794930695,24,true
m12_joint_hybrid_synergy,std_B_full,std,B_full,canonical_P1,-16.148567670505155,18.0,0.4,97.89370141695888,1.5730428634781728,6.883946358997649,-14.22057876569696,-27.13887115028044,24,true
m12_joint_hybrid_synergy,std_B_anch,std,B_anch,canonical_P1,-16.148567670505155,18.0,0.4,98.28710446714955,1.5768087139068379,6.898657606895628,-14.247279698140925,-27.155061778225065,24,true
m12_joint_hybrid_synergy,std_C_sqrt,std,C_sqrt,canonical_P1,-16.148567670505155,18.0,0.4,97.5943255873724,1.5735676826145122,6.819599734371603,-14.310858318485359,-27.256444507334603,24,true
m12_joint_hybrid_synergy,std_D_sup,std,D_sup,canonical_P1,-16.148567670505155,18.0,0.4,97.6848819928946,1.5707259777154543,6.854098497352031,-14.252039422928275,-27.19668949413261,24,true
m12_joint_hybrid_synergy,std_D_sup_anch,std,D_sup_anch,canonical_P1,-16.148567670505155,18.0,0.4,97.58272597409182,1.569636075040439,6.812087212732285,-14.324937853364917,-27.27907939014295,24,true
