model,spec,n_shifted,w_p10,w_median,w_p90,w_mean,var_retention_median,market_share_median
m12_joint_hybrid_synergy,std_w0.25_s0.75,623,0.947520784060196,0.9906358258641084,0.999691881069398,0.9790538728256685,0.9813593395396296,0.009364174135891634
m12_joint_hybrid_synergy,std_w0.25_s1.00,623,0.970012772564596,0.9947181790380484,0.9998266675183205,0.9879513898246413,0.9894642557260989,0.005281820961951622
m12_joint_hybrid_synergy,std_w0.40_s0.15,623,0.49784754673431236,0.8382657918379632,0.9938679145393009,0.7898313843538531,0.702689549619858,0.16173420816203676
m12_joint_hybrid_synergy,std_w0.40_s0.25,623,0.7123305240893246,0.9358488755698406,0.9977851868486989,0.8894246363810914,0.8758131202019289,0.06415112443015936
m12_joint_hybrid_synergy,std_w0.40_s0.35,623,0.8300208944728575,0.9663640453574747,0.9988689695853499,0.934289449497601,0.933859468827513,0.033635954642525334
m12_joint_hybrid_synergy,std_w0.40_s0.50,623,0.9096441088795924,0.9832758810965658,0.9994455283670889,0.9644787262837623,0.9668314585162978,0.01672411890343417
m12_joint_hybrid_synergy,std_w0.40_s0.75,623,0.9580166272481567,0.9925086606912867,0.9997535048555184,0.9832430982605346,0.9850734415818776,0.007491339308713263
m12_joint_hybrid_synergy,std_w0.40_s1.00,623,0.9760102180516768,0.9957745432304388,0.9998613340146564,0.9903611118597133,0.9915669409568787,0.004225456769561209
m12_joint_hybrid_synergy,std_w0.55_s0.15,623,0.6233856600507343,0.8786993438784725,0.9954009359044758,0.84237353826539,0.7721125436004063,0.12130065612152752
m12_joint_hybrid_synergy,std_w0.55_s0.25,623,0.7842478930669934,0.9518866566773805,0.9983388901365242,0.9170684772858184,0.9060882084522752,0.04811334332261952
m12_joint_hybrid_synergy,std_w0.55_s0.35,623,0.8725156708546431,0.974773034018106,0.9991517271890124,0.9507170871232005,0.9501824682245291,0.025226965981894
m12_joint_hybrid_synergy,std_w0.55_s0.50,623,0.9322330816596943,0.9874569108224244,0.9995841462753166,0.973359044712822,0.9750711508266298,0.012543089177575628
m12_joint_hybrid_synergy,std_w0.55_s0.75,623,0.9685124704361177,0.994381495518465,0.9998151286416388,0.987432323695401,0.9887945586490386,0.005618504481535003
m12_joint_hybrid_synergy,std_w0.55_s1.00,623,0.9820076635387576,0.996830907422829,0.9998960005109923,0.9927708338947848,0.9936718579996587,0.0031690925771710177
m12_joint_hybrid_synergy,std_w0.70_s0.15,623,0.7489237733671561,0.9191328959189816,0.9969339572696505,0.8949156921769267,0.8448052833239461,0.08086710408101838
m12_joint_hybrid_synergy,std_w0.70_s0.25,623,0.8561652620446623,0.9679244377849203,0.9988925934243494,0.9447123181905457,0.9368777178354026,0.03207556221507968
m12_joint_hybrid_synergy,std_w0.70_s0.35,623,0.9150104472364288,0.9831820226787373,0.9994344847926749,0.9671447247488003,0.9666468898856156,0.016817977321262667
m12_joint_hybrid_synergy,std_w0.70_s0.50,623,0.9548220544397962,0.9916379405482829,0.9997227641835444,0.9822393631418812,0.9833458051773574,0.008362059451717085
m12_joint_hybrid_synergy,std_w0.70_s0.75,623,0.9790083136240784,0.9962543303456433,0.9998767524277592,0.9916215491302671,0.9925226907411127,0.0037456696543567425
m12_joint_hybrid_synergy,std_w0.70_s1.00,623,0.9880051090258384,0.9978872716152194,0.9999306670073282,0.9951805559298567,0.9957790068544391,0.0021127283847806044
m12_joint_hybrid_synergy,std_w0.85_s0.15,623,0.874461886683578,0.9595664479594908,0.9984669786348253,0.9474578460884633,0.9207677687904774,0.040433552040509246
m12_joint_hybrid_synergy,std_w0.85_s0.25,623,0.9280826310223311,0.9839622188924602,0.9994462967121747,0.972356159095273,0.9681816483513108,0.01603778110753984
m12_joint_hybrid_synergy,std_w0.85_s0.35,623,0.9575052236182144,0.9915910113393687,0.9997172423963374,0.9835723623743998,0.9832527338107726,0.008408988660631334
m12_joint_hybrid_synergy,std_w0.85_s0.50,623,0.9774110272198981,0.9958189702741415,0.9998613820917722,0.9911196815709405,0.9916554215684807,0.004181029725858543
m12_joint_hybrid_synergy,std_w0.85_s0.75,623,0.9895041568120392,0.9981271651728216,0.9999383762138796,0.9958107745651333,0.9962578378580997,0.0018728348271783712
m12_joint_hybrid_synergy,std_w0.85_s1.00,623,0.9940025545129192,0.9989436358076097,0.9999653335036641,0.9975902779649283,0.9978883875212194,0.0010563641923903022
m12_joint_hybrid_synergy,std_w1.00_s0.15,623,1.0,1.0,1.0,1.0,1.0,0.0
m12_joint_hybrid_synergy,sta_w0.25,623,0.25,0.25,0.25,0.25,0.0625,0.75
m12_joint_hybrid_synergy,sta_w0.40,623,0.4,0.4,0.4,0.4000000000000003,0.16000000000000003,0.6
m12_joint_hybrid_synergy,sta_w0.55,623,0.55,0.55,0.55,0.5500000000000006,0.30250000000000005,0.44999999999999996
m12_joint_hybrid_synergy,sta_w0.70,623,0.7,0.7,0.7,0.6999999999999994,0.48999999999999994,0.30000000000000004
m12_joint_hybrid_synergy,sta_w0.85,623,0.85,0.85,0.85,0.8500000000000009,0.7224999999999999,0.15000000000000002
m12_joint_hybrid_synergy,sta_w1.00,623,1.0,1.0,1.0,1.0,1.0,0.0
