model,container,form,scheme,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,inv_D_sup,inv,D_sup,canonical_P1,O/U 2.5_under_25,under_25,160,0.51875,2.2543062448793143,0.4772184116701511,0.44884758079811427,847.8890716686932,271.2208626743054,0.15251476111459356,15.251476111459356,31.987776672310158,19.21342251023668,2.1642185200722497,0.028370830872036845,0.041531588329848934
m12_joint_hybrid_synergy,inv_D_sup,inv,D_sup,canonical_P1,1X2_draw,draw,162,0.2345679012345679,4.446235525427465,0.24308223965940207,0.23240515594199163,454.68424212283674,128.5469337609903,0.024522317469467796,2.45223174694678,28.27169315585436,10.303282286042204,1.9127969583039173,0.01067708371741044,-0.008514338424834178
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,1X2_away,away,359,0.2646239554317549,4.4363071444683735,0.2950484112617917,0.26252834860222346,1675.1994427889128,78.12886514011385,0.022285166362632145,2.2285166362632145,4.663854532451552,29.397763448209414,0.6378353173569341,0.03252006265956825,-0.030424455830036834
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,1X2_home,home,285,0.3649122807017544,3.2511491983585503,0.3668210859481857,0.33840475895810945,1343.5008459870514,188.26416526788938,0.07806856822865864,7.806856822865864,14.012954724235719,23.576846466139457,1.9164314327237408,0.028416326990076235,-0.0019088052464312777
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,O/U 2.5_under_25,under_25,168,0.5297619047619048,2.249161958562586,0.4780513469250497,0.44968847444717897,724.0332513463451,224.51074848506943,0.1720355038202367,17.203550382023668,31.008347761320362,12.705924863658076,4.240745331450024,0.028362872477870726,0.051710557836855076
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,O/U 3.5_under_35,under_35,74,0.5945945945945946,1.5551645587082057,0.6875032862010984,0.6464591810417447,540.7174298745665,-150.23309633167162,-0.09940717193446691,-9.940717193446691,-27.784030628811447,9.48894960788216,-3.799783177256895,0.04104410515935364,-0.09290869160650372
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,1X2_draw,draw,165,0.23636363636363636,4.434524247940961,0.24353564502923195,0.2329331230342231,511.14093576120536,116.5528471573209,0.02955777956229738,2.9557779562297384,22.802487338202944,8.969917213670989,3.1185002977022496,0.010602521995008857,-0.007172008665595586
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,BTTS_btts_yes,btts_yes,37,0.4864864864864865,1.9055040750047652,0.5445652404338811,0.5317800992082589,241.7382933175197,-96.81009772550229,-0.11091238349844863,-11.091238349844863,-40.04748126451925,4.242220348098447,-5.476949965734349,0.012785141225622243,-0.05807875394739459
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,BTTS_btts_no,btts_no,69,0.391304347826087,2.372383942666556,0.44477226449930185,0.4237421858120246,192.55245568109356,4.85618994371312,-0.09134728055565049,-9.134728055565049,2.522008834702149,3.379067231577329,0.3449134818134355,0.021030078687277243,-0.05346791667321488
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,O/U 1.5_over_15,over_15,35,0.8571428571428571,1.3701498931896778,0.7455266283315757,0.7290253600854345,174.80383447141458,22.83887335191206,0.15980308580207514,15.980308580207513,13.065430412881973,3.0675999790659745,1.7868466728152788,0.016501268246141176,0.11161622881128141
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,O/U 1.5_under_15,under_15,61,0.21311475409836064,4.760390042851289,0.24220447578761,0.2159396750346251,133.40438238410852,5.710749602856618,-0.07342612649233732,-7.342612649233732,4.280781111383412,2.341088694342809,0.5854456565307061,0.0262648007529849,-0.029089721689249365
