model,container,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,raw,canonical_P1,1X2_draw,draw,366,0.24863387978142076,4.129148695775375,0.2536945358704581,0.24746823904475565,2275.5273400390242,317.15496193219013,0.011781409953712426,1.1781409953712427,13.937646731449558,15.04604968466291,1.3383282244720476,0.006226296825702443,-0.00506065608903733
m12_joint_hybrid_synergy,std,flat_1.0,1X2_away,away,378,0.25925925925925924,4.539024459475323,0.3082018272359397,0.25650545012373177,3582.814369491566,360.4024819159798,0.033994452253826905,3.3994452253826903,10.059200526404169,30.26610299498787,1.0796945622892955,0.051696377112207925,-0.04894256797668045
m12_joint_hybrid_synergy,std,flat_1.0,1X2_home,home,299,0.3879598662207358,3.3139120004183025,0.3814829241880493,0.33097331948187747,3107.4157996937965,517.6400662219012,0.1404674741252453,14.04674741252453,16.65821697479009,26.250136608425933,1.7879936122066171,0.05050960470617183,0.006476942032686506
m12_joint_hybrid_synergy,std,flat_1.0,1X2_draw,draw,347,0.2478386167146974,4.15635274044717,0.24910458702036353,0.2459362782271948,1394.6845977110142,92.44300346708333,0.01623377934038245,1.6233779340382453,6.628237209961502,11.781706593365874,0.7114354321075659,0.0031683087931687337,-0.0012659703056661364
m12_joint_hybrid_synergy,std,flat_1.0,O/U 2.5_under_25,under_25,232,0.4870689655172414,2.239068341608921,0.4817139079238947,0.4511807253153104,1241.2854319931068,176.88543873463593,0.06775096787205896,6.7750967872058965,14.250182445999917,10.485855212256713,1.529529554380641,0.030533182608584286,0.0053550575933467015
m12_joint_hybrid_synergy,std,flat_1.0,O/U 3.5_under_35,under_35,119,0.6554621848739496,1.5410179127570753,0.6896953341348913,0.6515054812337712,887.797650091806,-5.562689472880873,-0.012753032888266945,-1.2753032888266946,-0.6265717725548882,7.499739686541428,-0.06725247537671927,0.03818985290112009,-0.034233149260941675
m12_joint_hybrid_synergy,std,flat_1.0,O/U 1.5_under_15,under_15,114,0.17543859649122806,4.969977888584646,0.23804403661925166,0.20919990240765782,338.88957044398666,-16.672691638575234,-0.1753645506955773,-17.53645506955773,-4.919800753009889,2.862795999235774,-0.5280620568830017,0.028844134211593847,-0.0626054401280236
m12_joint_hybrid_synergy,std,flat_1.0,O/U 3.5_over_35,over_35,79,0.26582278481012656,3.7457618338069025,0.29519716967022624,0.27141224163472194,323.58273109078505,-2.9530695703717775,-0.01220601010228513,-1.220601010228513,-0.9126165541705804,2.7334902835010575,-0.09795481543555618,0.023784928035504305,-0.02937438486009969
m12_joint_hybrid_synergy,std,flat_1.0,BTTS_btts_yes,btts_yes,60,0.5666666666666667,1.8603396075989633,0.5494679039939219,0.5416878307877688,310.0713675283234,-5.407090115634198,0.03488131997512818,3.488131997512818,-1.7438211592175756,2.6193519891293557,-0.18717135802891374,0.0077800732061530375,0.017198762672744783
m12_joint_hybrid_synergy,std,flat_1.0,O/U 2.5_over_25,over_25,49,0.4897959183673469,2.1551934855360297,0.500393787077367,0.4650121423254123,248.84707592950838,1.8783024792272371,0.03102813281983709,3.102813281983709,0.7548019088475483,2.1021550248925887,0.08101593307033894,0.03538164475195471,-0.010597868710020109
m12_joint_hybrid_synergy,std,flat_1.0,O/U 1.5_over_15,over_15,40,0.65,1.3695627530321608,0.7491455852365095,0.729957904434187,222.6123517969178,-7.768947134054459,-0.11517163510898461,-11.517163510898461,-3.4898994019621266,1.880535152704022,-0.3745849779358276,0.019187680802322582,-0.09914558523650951
m12_joint_hybrid_synergy,std,flat_1.0,BTTS_btts_no,btts_no,46,0.391304347826087,2.350076109598658,0.45361693419235494,0.4259134845834909,179.71192425043847,-7.999491831217091,-0.08360160843007684,-8.360160843007684,-4.451286059387667,1.5181304549593782,-0.47777448524858124,0.02770344960886406,-0.062312586366267964
m12_joint_hybrid_synergy,std,canonical_P1,1X2_home,home,299,0.3879598662207358,3.3139120004183025,0.3814829241880493,0.33097331948187747,3558.700379602318,615.7049458188064,0.1404674741252453,14.04674741252453,17.301398829412296,37.95409275634789,1.3122541116103794,0.05050960470617183,0.006476942032686506
m12_joint_hybrid_synergy,std,canonical_P1,1X2_away,away,378,0.25925925925925924,4.539024459475323,0.3082018272359397,0.25650545012373177,3133.378348308175,298.54612237194095,0.033994452253826905,3.3994452253826903,9.527930852433983,33.4179671753401,0.7226621708176988,0.051696377112207925,-0.04894256797668045
m12_joint_hybrid_synergy,std,canonical_P1,O/U 2.5_under_25,under_25,232,0.4870689655172414,2.239068341608921,0.4817139079238947,0.4511807253153104,1486.8006929670844,210.6743216386241,0.06775096787205896,6.7750967872058965,14.16964107127223,15.856960516968575,1.0747206014469932,0.030533182608584286,0.0053550575933467015
m12_joint_hybrid_synergy,std,canonical_P1,1X2_draw,draw,347,0.2478386167146974,4.15635274044717,0.24910458702036353,0.2459362782271948,1197.4489831444625,111.2955207262359,0.01623377934038245,1.6233779340382453,9.29438517154839,12.770979551343453,0.7049485002057039,0.0031683087931687337,-0.0012659703056661364
m12_joint_hybrid_synergy,inv,flat_1.0,1X2_away,away,401,0.26683291770573564,4.413434173420195,0.28889091950355544,0.2659576659432864,1194.766608048573,64.94403089903429,0.033652783790150693,3.3652783790150695,5.435708569484392,31.00583070204488,0.6462296362420176,0.02293325356026904,-0.022058001797819804
m12_joint_hybrid_synergy,inv,flat_1.0,1X2_home,home,338,0.40532544378698226,3.1843386349957625,0.3662184487012236,0.3459119484944463,1025.9055207725983,155.81822387541555,0.13770739723737357,13.770739723737357,15.188360011755327,26.623654092009218,1.8056833327325486,0.020306500206777323,0.039106995085758656
m12_joint_hybrid_synergy,inv,flat_1.0,O/U 2.5_under_25,under_25,204,0.4852941176470588,2.2498682589391885,0.4696077682783675,0.4500140427102734,479.4021748516779,85.5009928234704,0.07388529902754039,7.388529902754039,17.83491967885284,12.441143376044986,2.120322219107476,0.019593725568094078,0.015686349368691344
m12_joint_hybrid_synergy,inv,flat_1.0,O/U 3.5_under_35,under_35,87,0.6666666666666666,1.5619904642221438,0.6727655682119448,0.643730116344493,314.9174248180845,-6.170979785296614,0.013618321971929916,1.3618321971929916,-1.9595548861297047,8.172538714470424,-0.23296363759619018,0.029035451867451822,-0.006098901545278146
m12_joint_hybrid_synergy,inv,flat_1.0,1X2_draw,draw,136,0.21323529411764705,4.60357014899171,0.23513644745428555,0.22568976153970274,253.6957432456222,65.74743488585426,-0.0077824368274100365,-0.7782436827410036,25.91586048891611,6.583752183826863,3.0810329292984404,0.009446685914582809,-0.0219011533366385
m12_joint_hybrid_synergy,inv,flat_1.0,O/U 1.5_under_15,under_15,95,0.18947368421052632,5.019278312396678,0.22742812805992577,0.20888646233471983,126.72754156603288,10.43855654866465,-0.1275788058639325,-12.75788058639325,8.237007062293177,3.2887533620482854,0.9792648022875086,0.018541665725205936,-0.037954443849399444
