model,spec,method,w_base,sigma,w_max,identity_spec,head_logloss,head_market_logloss,head_delta_logloss,head_ece,head_market_ece,head_mce,head_brier,head_rps,head_market_rps,head_n_obs,wide_logloss,wide_market_logloss,wide_ece,wide_market_ece,wide_brier,wide_market_brier,wide_n_obs,crps_all,crps_home,crps_away,lpd_all,lpd_all_market,lpd_small,lpd_small_market,n_small,lpd_large,lpd_large_market,n_large,n_shifted,w_median,w_p10,w_p90,var_retention_median,price,rates
m12_joint_hybrid_synergy,inv_w0.55_s0.75,inverse_gaussian,0.55,0.75,1.0,false,0.6311878134707274,0.633061118131463,-0.001873304660735653,0.014833922388366597,0.018347074313313467,0.07499137177336945,0.22029072370543049,0.22086027493991833,0.21091067161472066,2148,0.630512739555814,0.6313810201519001,0.012837028968386508,0.019667429027437587,0.21991152841384118,0.22020097994061438,2442,0.624173375716066,0.6319054950388893,0.6164412563932428,-0.6305127395558134,-0.6313810201518996,-0.6374296526736699,-0.6370898801032477,824,-0.6450236762453001,-0.6483062421337173,875,580,0.5555405685429473,0.5501596142344545,0.5840506389577438,0.30862532335403703,t25,t25
m12_joint_hybrid_synergy,inv_w0.55_s1.00,inverse_gaussian,0.55,1.0,1.0,false,0.6311591364453337,0.633061118131463,-0.001901981686129317,0.013798905345338444,0.018347074313313467,0.29383539184787766,0.22028413253841742,0.22077086577511554,0.21091067161472066,2148,0.630470922106072,0.6313810201519001,0.011509417888894596,0.019667429027437587,0.21989545250792897,0.22020097994061438,2442,0.6240569881374453,0.6316335248367779,0.6164804514381127,-0.6304709221060726,-0.6313810201518996,-0.6374506991896136,-0.6370898801032477,824,-0.6448358878343919,-0.6483062421337173,875,580,0.5531250136746324,0.5500897899743513,0.5694825787191354,0.3059472807707992,t25,t25
m12_joint_hybrid_synergy,inv_w0.70_s0.15,inverse_gaussian,0.7,0.15,1.0,false,0.6337281230811204,0.633061118131463,0.0006670049496573238,0.015179267256315535,0.018347074313313467,0.2267867200070901,0.22142215917682737,0.2236394979661543,0.21091067161472066,2148,0.6333656732899625,0.6313810201519001,0.015246238307507641,0.019667429027437587,0.22118992918388103,0.22020097994061438,2442,0.6274311037344102,0.63729710354893,0.6175651039198903,-0.6333656732899612,-0.6313810201518996,-0.6374064383593261,-0.6370898801032477,824,-0.6524662502267768,-0.6483062421337173,875,580,0.7799042747422424,0.7026489449922554,0.9580405407043531,0.6082506864996955,t25,t25
m12_joint_hybrid_synergy,inv_w0.70_s0.25,inverse_gaussian,0.7,0.25,1.0,false,0.6328407176238583,0.633061118131463,-0.0002204005076047455,0.01638039163436953,0.018347074313313467,0.26909282420448233,0.22101181553678334,0.22283192341409216,0.21091067161472066,2148,0.6324196293052526,0.6313810201519001,0.012834263289130463,0.019667429027437587,0.22075727838786224,0.22020097994061438,2442,0.6264248137743058,0.6358564392517129,0.6169931882968986,-0.6324196293052508,-0.6313810201518996,-0.637386094064762,-0.6370898801032477,824,-0.6501281074747648,-0.6483062421337173,875,580,0.7316523646024781,0.7009563277730931,0.8522341823889366,0.5353151843118966,t25,t25
m12_joint_hybrid_synergy,inv_w0.70_s0.35,inverse_gaussian,0.7,0.35,1.0,false,0.6324173385123948,0.633061118131463,-0.0006437796190682521,0.016713467905373064,0.018347074313313467,0.29276193610398393,0.22082368879150566,0.222350962179853,0.21091067161472066,2148,0.6319364812266279,0.6313810201519001,0.01242396842641547,0.019667429027437587,0.22054251549132425,0.22020097994061438,2442,0.6258359639579791,0.6349004649597506,0.6167714629562079,-0.6319364812266289,-0.6313810201518996,-0.6374185331408219,-0.6370898801032477,824,-0.6487944435889325,-0.6483062421337173,875,580,0.716589853018268,0.700488303846541,0.7909697960750657,0.5135010179375483,t25,t25
m12_joint_hybrid_synergy,inv_w0.70_s0.50,inverse_gaussian,0.7,0.5,1.0,false,0.6321525542527304,0.633061118131463,-0.0009085638787326156,0.01625295736726794,0.018347074313313467,0.23458737345391967,0.2207118890408296,0.22199413215611832,0.21091067161472066,2148,0.6316315586252744,0.6313810201519001,0.011798546374821488,0.019667429027437587,0.22041010256193466,0.22020097994061438,2442,0.6253917455332488,0.6341238553820095,0.6166596356844882,-0.631631558625274,-0.6313810201518996,-0.6374584601564196,-0.6370898801032477,824,-0.6478606355155243,-0.6483062421337173,875,580,0.7082469645090306,0.7002393682767826,0.7486758722706125,0.5016137628606296,t25,t25
m12_joint_hybrid_synergy,inv_w0.70_s0.75,inverse_gaussian,0.7,0.75,1.0,false,0.6320046954603535,0.633061118131463,-0.0010564226711095026,0.014418896650383796,0.018347074313313467,0.16992561126331673,0.22065312896717115,0.2217654589267999,0.21091067161472066,2148,0.631464284950826,0.6313810201519001,0.01073457869439064,0.019667429027437587,0.2203391608343104,0.22020097994061438,2442,0.6251001079475291,0.6335877500354483,0.6166124658596099,-0.6314642849508258,-0.6313810201518996,-0.6374909689673249,-0.6370898801032477,824,-0.6472881755768481,-0.6483062421337173,875,580,0.7036937123619648,0.7001064094896363,0.7227004259718292,0.49518484084310405,t25,t25
m12_joint_hybrid_synergy,inv_w0.70_s1.00,inverse_gaussian,0.7,1.0,1.0,false,0.6319535496421804,0.633061118131463,-0.0011075684892826176,0.015954744709317466,0.018347074313313467,0.1831878577317121,0.22063381889516478,0.22167882097613612,0.21091067161472066,2148,0.6314075959100998,0.6313810201519001,0.011783424900229492,0.019667429027437587,0.22031556977100597,0.22020097994061438,2442,0.6249878428250513,0.6333748643373432,0.6166008213127592,-0.6314075959100993,-0.6313810201518996,-0.6375047777535929,-0.6370898801032477,824,-0.6470772392186416,-0.6483062421337173,875,580,0.7020833424497549,0.7000598599829009,0.712988385812757,0.4929210197535251,t25,t25
m12_joint_hybrid_synergy,inv_w0.85_s0.15,inverse_gaussian,0.85,0.15,1.0,false,0.6342708904278762,0.633061118131463,0.0012097722964131696,0.013772779895173053,0.018347074313313467,0.19489981742748316,0.22167455925569288,0.22411521524859546,0.21091067161472066,2148,0.6338857400819954,0.6313810201519001,0.013873130355206776,0.019667429027437587,0.22143037451362413,0.22020097994061438,2442,0.6278361772513089,0.6377671061278718,0.6179052483747459,-0.6338857400819953,-0.6313810201518996,-0.6375363405633677,-0.6370898801032477,824,-0.6535539204217883,-0.6483062421337173,875,580,0.8899521373711212,0.8513244724961276,0.9790202703521764,0.7920148089960451,t25,t25
m12_joint_hybrid_synergy,inv_w0.85_s0.25,inverse_gaussian,0.85,0.25,1.0,false,0.6337767558891587,0.633061118131463,0.0007156377576956752,0.013057292638255901,0.018347074313313467,0.19052849141521147,0.22144596790704132,0.22366680060145577,0.21091067161472066,2148,0.6333684159697861,0.6313810201519001,0.013339846221027046,0.019667429027437587,0.22119363131773284,0.22020097994061438,2442,0.6272764985286338,0.6369885546955465,0.6175644423617209,-0.6333684159697855,-0.6313810201518996,-0.6375254295123394,-0.6370898801032477,824,-0.6522653834322999,-0.6483062421337173,875,580,0.865826182301239,0.8504781638865466,0.9261170911944684,0.7496549783792132,t25,t25
