model,container,price,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,inv_t25,t25,flat_1.0,O/U 3.5_over_35,over_35,11,0.2727272727272727,3.6227146003292705,0.2923229367444123,0.2847016437722268,17.717792409337005,16.73297745969258,0.044594033200998334,4.459403320099834,94.44166108907879,0.3928640498475913,8.804829828613405,0.0076212929721855005,-0.01959566401713958
m12_joint_hybrid_synergy,inv_t25,t25,canonical_P1,1X2_home,home,271,0.36900369003690037,3.2553688284754108,0.36537350703236054,0.3369703381948771,1469.940523292271,241.13311252606545,0.09689543075677297,9.689543075677296,16.404276819717317,37.84454373649388,0.9633200775419066,0.02840316883748345,0.003630183004539822
m12_joint_hybrid_synergy,inv_t25,t25,canonical_P1,1X2_away,away,336,0.25595238095238093,4.463653093068483,0.2941780736904879,0.26193880563625627,1398.1992707124343,-11.187401946097472,-0.007469550415074662,-0.7469550415074663,-0.8001292934731025,35.99752004543488,-0.04698656463207272,0.03223926805423161,-0.03822569273810694
m12_joint_hybrid_synergy,inv_t25,t25,canonical_P1,O/U 2.5_under_25,under_25,103,0.5631067961165048,2.2595538466026013,0.476610140876895,0.4490514682597921,545.8589514219306,297.341171580851,0.2567687539674758,25.67687539674758,54.47216186641158,14.053482187684756,3.19880771153258,0.02755867261710293,0.08649665523960981
m12_joint_hybrid_synergy,inv_t25,t25,canonical_P1,1X2_draw,draw,175,0.25142857142857145,4.379256951506981,0.24550022736605842,0.23554885234482287,470.15568784452864,134.14171275124528,0.07689453162619161,7.689453162619161,28.531338920141565,12.10445403038654,1.6754662167057246,0.009951375021235553,0.005928344062513025
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,1X2_away,away,336,0.2648809523809524,4.526230260038032,0.3033496053713448,0.2587997563464762,2058.9677722186284,145.43549495520858,0.03202616943042515,3.2026169430425147,7.06351487952118,34.84841791527502,1.0529901917568183,0.04454984902486864,-0.03846865299039243
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,1X2_home,home,260,0.36153846153846153,3.3388739076859952,0.3726176212776849,0.32907584498484704,1736.6177024930885,105.62814644927212,0.08329749202770417,8.329749202770417,6.082406409748809,29.39258218225178,0.9067319034483947,0.04354177629283784,-0.011079159739223354
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,1X2_draw,draw,284,0.23943661971830985,4.177490001559571,0.2483068195628331,0.24535770732276319,757.7460939767748,54.20330275617522,-0.014089109135902405,-1.4089109135902405,7.153227603154965,12.824995569559599,1.0663640742605625,0.002949112240069912,-0.008870199844523252
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,O/U 2.5_under_25,under_25,125,0.504,2.2532159031833627,0.4784454405172404,0.4492234742108495,498.6567919334623,208.37464438548255,0.13057324733145398,13.057324733145398,41.78718664946748,8.439860262049038,6.229405392854991,0.0292219663063909,0.025554559482759587
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,O/U 3.5_under_35,under_35,51,0.5098039215686274,1.5981995388033057,0.665980863409601,0.627691719462401,301.1516711202623,-70.98540949742927,-0.21338392371658413,-21.33839237165841,-23.571315156037063,5.097048838104883,-3.513882831630472,0.038289143947200066,-0.15617694184097364
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,O/U 2.5_over_25,over_25,37,0.5405405405405406,2.1183276793730093,0.5078587244427297,0.4733046855764475,159.22176777403837,7.907731807970392,0.14611738544994202,14.611738544994202,4.966489141857005,2.694858452602038,0.740377056329875,0.03455403886628222,0.032681816097810845
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,BTTS_btts_yes,btts_yes,23,0.5217391304347826,1.875584869536586,0.5519416154680817,0.5364267109898134,92.21767642577055,-9.41983920342291,-0.06705570532033953,-6.705570532033953,-10.214786978508714,1.5608015679614156,-1.522764612620745,0.01551490447826831,-0.030202485033299142
m12_joint_hybrid_synergy,std_t25,close,flat_1.0,BTTS_btts_no,btts_no,26,0.23076923076923078,2.4677011728306266,0.43442283097361933,0.4067666802226487,91.30144454779025,-59.73746429213973,-0.46241414828699884,-46.24141482869988,-65.42882709908399,1.5452941706033938,-9.753771934881016,0.02765615075097061,-0.20365360020438855
